pathway	071A	077A	091A	100A	101A	218A	219A	220A	224A	242A	245A	246A	248A	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A
1CMET2-PWY	2171.6131210153912	23275.16612618896	16042.318378983851	14192.798618086194	13082.11204814673	27432.28855829901	9983.305985083627	27302.303515503383	23037.146806259712	28923.434326997085	15307.792666781868	13096.602520548404	29581.270892164743	19904.24966588248	11652.19254505556	3739.541191646593	4526.430397404629	4750.897635858084	10825.098176908265	10352.64818132032	5192.939698372102	4307.993517720033	1467.0551523190318	19759.11223747878	12609.87306155088	10846.843008779724	8425.42144797945	10407.401053530157
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	240.94399875867933	73.48345975615096	240.49793402414608	492.1962007388107	492.3394637177786	244.57237487204813	247.5957325278044	126.69310918716644	134.6330347087096	100.03310231183892	56.113013246888784	83.07025947296306	68.19923068854204	20.86140130311104	35.87582530184338	588.7743556562594	947.0309673190768	880.223024021702	102.3588688372854	1427.7674468650982	39.3712541932504	63.38072523918796	27.58439982072015	0.0	185.5435287334627	248.64026067634808	157.2537278868923	54.80120561091149
AEROBACTINSYN-PWY	0.0	0.0	78.33	96.0	100.67	76.6228187919463	160.82818824809576	89.32112462333191	103.33	76.39268500246669	40.33	66.36	58.391837449933256	0.0	0.0	0.0	0.0	0.0	24.0	0.0	6.67	0.0	0.0	0.0	151.60572337042925	198.33	134.67	44.0
ALL-CHORISMATE-PWY	262.16364476192354	107.71212960885464	8277.752093569805	12501.981477622654	11342.010752491216	5009.888401923902	6838.231440204613	5925.924148048931	6503.381414876676	6974.693456185874	2957.2441992010986	4427.755633391434	4481.540273423133	237.57305349377972	263.6812201547876	1172.5134443164443	1736.6808003928816	2232.681496849429	3124.1444858088075	2520.6342377168	1520.4208368966254	242.1460110461136	168.82065476856187	29.813386594434192	5329.631246431768	5112.907081198342	4708.130388343229	3114.431703347304
ANAEROFRUCAT-PWY	35201.304286720275	30912.89279915136	27996.782808230502	29556.61096884381	28660.165149750934	20454.588491937862	12563.563623241273	23402.302574489968	23581.50617333136	28410.781431155305	19329.678284351085	17399.534404978156	34634.77495705916	29744.206616672145	16607.827693364015	10502.48624802409	12654.147609041933	14290.067105467637	23514.95890307285	18504.939063101	14557.09377963716	9094.728702799524	6346.659020193041	23129.81976364032	23679.9002134991	19117.21197996898	17431.62219665345	18924.251426087343
ANAGLYCOLYSIS-PWY	44985.51192925567	42827.57651667191	27491.99637803248	28632.73903520022	27664.46359262763	35409.459315171574	13212.392154851414	35175.4870636719	34197.93680633539	44112.27115025551	20397.35419857108	18174.976356198466	45708.33750383935	50603.16554335859	45761.56280377519	34650.15682605125	32414.640494740383	28412.493447034525	37384.78501334744	35268.25294615148	37342.59500021624	36775.5974809403	41975.83864501663	26292.51357046021	26691.240591239257	20028.83930393723	17880.541278823555	26076.403187538504
ARG+POLYAMINE-SYN	266.3645896869474	61.84451333334631	8712.371795427514	10654.104417475031	10324.23734890494	7017.96900656263	7283.073300975198	7776.262437279507	6913.154492467258	7073.45910846306	4065.401770038116	3679.0679150110072	3809.6109872248926	4111.567240970382	550.9958654087432	1148.4801148667104	1685.08461841641	1421.8061837075195	4336.000454477528	3178.4917070507217	1329.3901901567976	221.12811396638395	100.59366522439088	1695.9674331762994	6505.1429100073165	6165.338405450156	5401.3439847274485	3650.170284496987
ARGDEG-PWY	46.69470883709829	21.423396522610016	5740.257110673652	7816.725323364689	7995.5444139615265	2612.1931106181214	5460.157757865445	3224.2965895791453	3246.069312703782	3283.874177725819	1554.5170096587624	2194.621520976664	1932.103000718819	50.30643363628717	47.543072678531445	590.7756306541545	940.0379471755148	828.1927824889696	2289.463908458108	1659.777149875853	850.6048180341145	46.94726365682812	29.34644087068272	6.3625654688863085	4247.859033696112	4306.767336683419	4342.68683178431	2091.710033744864
ARGORNPROST-PWY	13853.34277773047	4648.305357618549	7300.0428201639825	4163.814694607705	2029.1705285878536	2559.7302877998004	4002.261452645392	5304.472069915351	4566.8854653956405	4311.288247811809	4054.88970615074	2668.8462739839288	5018.119030978996	2813.129055686232	641.45441789212	1030.1577443544672	1242.8775177707512	1093.1653556927556	1513.7953322550318	665.8744724533378	643.9875937117139	841.2938379551014	1181.0264585101802	702.4046497444532	425.39455979049694	125.10228983135904	377.0582852815963	90.12278560086187
ARGSYN-PWY	4713.264631892475	15993.303629152815	15877.842241370208	19076.727920899822	16404.299219616714	27731.90672350376	9195.255802960452	27773.71616511544	14523.453017166205	17167.80450122198	15444.483967952889	10869.559619627882	17960.682625942056	18393.562358724223	9704.25488257654	4386.112017588697	5262.669749868803	5471.257298448173	10641.238320694472	8087.700332863788	5048.908661853541	4371.936901989341	2094.7869795176707	13468.731754077098	8735.101741054206	7835.484992437901	6425.756705846255	5155.351493701003
