"","071B","073B","075B","077B","081B","083B","085B","088B","091B","093B","097B","100B","101B","105B","106B","107B","215B","218B","219B","220B","224B","226B","227B","228B","235B","242B","245B","246B","248B"
"Lactobacillus",4118586.89863306,5716314.57482691,7846618.14308539,1865790.87519972,6958991.65631102,4727498.66856027,6946564.88549618,8176815.19616545,1105982.60252086,191727.321143263,6584413.27889224,832593.644594355,1125510.3852299,8270903.60376354,3259364.45943547,8501686.49032487,2009586.36605716,257411.681164566,8876.26486774365,143795.490857447,142020.237883898,2032664.6547133,2126753.06231138,4468311.73442215,2700159.77276762,445588.496360731,179300.550328422,142020.237883898,392330.907154269
"Escherichia_Shigella",10651.5178412924,10651.5178412924,3550.50594709746,39055.5654180721,15977.2767619386,12426.7708148411,3550.50594709746,14202.0237883898,3575359.48872714,17752.5297354873,0,8876.26486774365,607136.516953666,12426.7708148411,21303.0356825848,7101.01189419492,62133.8540742056,131368.720042606,4535771.34741701,186401.562222617,165098.526540032,1519616.54535771,688798.153736908,797088.58512338,63909.1070477543,58583.3481271081,3078288.6561335,521924.374223327,163323.273566483
"Muribacter",106515.178412924,2013136.87200426,1693591.33676549,163323.273566483,2456950.11539144,4509142.55281378,2700159.77276762,738505.236996272,118941.949227765,188176.815196165,687022.900763359,244984.910349725,0,1301260.42961122,4928102.25457128,1059826.02520859,1063376.53115569,475767.79691106,1034972.48357891,1184093.733357,1358068.52476478,1232025.56364282,3126220.48641931,2258121.78235399,1466358.95615125,0,44381.3243387183,468666.785016865,346174.329842002
"Staphylococcus",2783596.66252441,23078.2886561335,3550.50594709746,1832061.06870229,12426.7708148411,78111.1308361441,53257.5892064619,15977.2767619386,2377063.73158175,7141842.71258654,58583.3481271081,8377418.78217646,4542872.3593112,3550.50594709746,0,0,95863.6605716315,4754127.4631635,2396591.51429079,1054500.26628795,2758743.12089473,97638.9135451802,46156.577312267,21303.0356825848,142020.237883898,1441505.41452157,2077045.97905201,628439.552636251,2078821.23202556
"Streptococcus",223681.87466714,1336765.48908219,147345.996804545,411858.689863306,60358.6011006568,76335.8778625954,40830.8183916208,623113.793715604,303568.258476833,456240.014202024,85212.1427303391,138469.731936801,717202.201313687,207704.597905201,518373.868276229,122492.455174862,234333.392508432,118941.949227765,104739.925439375,94088.4075980827,134919.225989704,253861.175217468,703000.177525297,399431.919048464,49707.0832593645,159772.767619386,126042.96112196,0,184626.309249068
"Klebsiella",0,0,0,0,0,213030.356825848,0,0,0,0,2519083.96946565,0,200603.586011007,3550.50594709746,0,0,83436.8897567903,30179.3005503284,5325.75892064619,69234.8659684005,23078.2886561335,19527.782709036,46156.577312267,37280.3124445233,55032.8421800107,106515.178412924,67459.6129948518,71010.1189419492,55032.8421800107
"Enterococcus",1150363.92685958,0,1775.25297354873,287590.981714894,0,0,0,0,571631.457482691,513048.109355583,0,0,163323.273566483,0,0,0,28404.0475767797,205929.344931653,701224.924551749,85212.1427303391,246760.163323274,26628.794603231,0,0,49707.0832593645,349724.8357891,562755.192614948,101189.419492278,312444.523344577
"Pseudomonas",433161.72554589,555654.180720753,142020.237883898,2231492.98775075,170424.285460678,213030.356825848,94088.4075980827,138469.731936801,303568.258476833,422510.207704598,30179.3005503284,220131.368720043,1022545.71276407,104739.925439375,365702.112551039,115391.443280668,355050.594709746,214805.609799396,67459.6129948518,177525.297354873,362151.606603941,225457.127640689,285815.728741346,259186.934138115,516598.615302681,628439.552636251,479318.302858157,600035.505059471,420734.954731049
"Lachnospiraceae_NK4A136_group",0,0,0,0,0,0,0,0,0,14202.0237883898,0,0,0,0,0,0,28404.0475767797,0,0,95863.6605716315,47931.8302858157,24853.5416296822,12426.7708148411,0,71010.1189419492,7101.01189419492,42606.0713651695,47931.8302858157,78111.1308361441
"Muribaculaceae",0,0,0,46156.577312267,0,0,0,0,0,0,0,0,0,0,0,7101.01189419492,8876.26486774365,19527.782709036,0,51482.3362329132,30179.3005503284,24853.5416296822,0,7101.01189419492,12426.7708148411,65684.360021303,0,31954.5535238772,30179.3005503284
"Lachnospiraceae",3550.50594709746,0,0,35505.0594709746,0,0,10651.5178412924,0,0,7101.01189419492,0,0,0,0,7101.01189419492,0,118941.949227765,47931.8302858157,47931.8302858157,200603.586011007,193502.574116812,120717.202201314,26628.794603231,47931.8302858157,71010.1189419492,60358.6011006568,67459.6129948518,218356.115746494,94088.4075980827
"Bacteroides",0,0,0,0,0,0,0,0,0,3550.50594709746,1775.25297354873,0,0,0,0,0,269838.451979407,266287.94603231,28404.0475767797,475767.79691106,315995.029291674,209479.85087875,186401.562222617,133143.973016155,404757.677969111,450914.255281378,129593.467069057,449139.002307829,395881.413101367
"Rodentibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101.01189419492,65684.360021303,619563.287768507,92313.154624534,154447.00869874,83436.8897567903,269838.451979407,108290.431386473,134919.225989704,152671.755725191,1201846.26309249,83436.8897567903,513048.109355583
"Turicibacter",0,0,0,0,0,0,19527.782709036,7101.01189419492,0,0,0,3550.50594709746,0,0,0,42606.0713651695,5325.75892064619,28404.0475767797,0,92313.154624534,60358.6011006568,42606.0713651695,0,3550.50594709746,53257.5892064619,56808.0951535594,14202.0237883898,79886.3838096929,47931.8302858157
"Parabacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19527.782709036,0,0,15977.2767619386,28404.0475767797,24853.5416296822,12426.7708148411,17752.5297354873,12426.7708148411,15977.2767619386,0,39055.5654180721,19527.782709036
"Phyllobacterium",449139.002307829,225457.127640689,97638.9135451802,1762826.20273389,204154.091958104,74560.6248890467,90537.9016509853,172199.538434227,679921.888869164,619563.287768507,3550.50594709746,40830.8183916208,111840.93733357,3550.50594709746,184626.309249068,47931.8302858157,0,0,0,0,0,0,0,0,0,8876.26486774365,0,0,0
"Rikenellaceae_RC9_gut_group",0,0,0,0,0,0,1775.25297354873,0,3550.50594709746,7101.01189419492,0,0,23078.2886561335,0,7101.01189419492,0,78111.1308361441,53257.5892064619,0,133143.973016155,58583.3481271081,65684.360021303,24853.5416296822,62133.8540742056,62133.8540742056,200603.586011007,33729.8064974259,163323.273566483,69234.8659684005
"Prevotellaceae_UCG_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15977.2767619386,0,24853.5416296822,0,30179.3005503284,0,0,0,0,0,21303.0356825848,19527.782709036
"Lachnoclostridium",0,0,0,0,0,0,0,0,0,0,0,0,33729.8064974259,0,0,0,15977.2767619386,10651.5178412924,0,21303.0356825848,0,8876.26486774365,0,7101.01189419492,0,30179.3005503284,8876.26486774365,47931.8302858157,7101.01189419492
"Alistipes",0,0,0,0,0,0,0,0,0,0,1775.25297354873,0,0,0,0,0,110065.684360021,67459.6129948518,0,85212.1427303391,88762.6486774365,63909.1070477543,31954.5535238772,5325.75892064619,85212.1427303391,156222.261672288,46156.577312267,175750.044381324,142020.237883898
"Alloprevotella",0,0,0,0,1775.25297354873,0,0,0,0,0,0,0,0,0,0,0,106515.178412924,86987.3957038878,0,134919.225989704,71010.1189419492,72785.371915498,46156.577312267,14202.0237883898,65684.360021303,99414.1665187289,35505.0594709746,157997.514645837,76335.8778625954
"Clostridium_sensu_stricto_1",0,3550.50594709746,0,0,0,0,0,0,0,0,0,0,0,0,3550.50594709746,0,79886.3838096929,46156.577312267,0,136694.478963252,71010.1189419492,56808.0951535594,12426.7708148411,39055.5654180721,60358.6011006568,17752.5297354873,26628.794603231,133143.973016155,26628.794603231
"Romboutsia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17752.5297354873,0,99414.1665187289,67459.6129948518,21303.0356825848,184626.309249068,99414.1665187289,129593.467069057,92313.154624534,49707.0832593645,104739.925439375,152671.755725191,46156.577312267,117166.696254216,147345.996804545
"Peptococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19527.782709036,0,0,15977.2767619386,31954.5535238772,0,0,7101.01189419492,7101.01189419492,17752.5297354873,7101.01189419492,0,8876.26486774365
"Bifidobacterium",0,0,0,0,0,0,0,0,0,0,1775.25297354873,0,0,0,12426.7708148411,0,55032.8421800107,21303.0356825848,0,86987.3957038878,24853.5416296822,26628.794603231,0,19527.782709036,24853.5416296822,55032.8421800107,0,44381.3243387183,26628.794603231
"Ruminococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101.01189419492,145570.743830996,60358.6011006568,14202.0237883898,157997.514645837,46156.577312267,115391.443280668,51482.3362329132,35505.0594709746,40830.8183916208,86987.3957038878,19527.782709036,97638.9135451802,74560.6248890467
"Anaeroplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101.01189419492,15977.2767619386,0,5325.75892064619,15977.2767619386,5325.75892064619,0,0,5325.75892064619,7101.01189419492,0,10651.5178412924,5325.75892064619
"Marvinbryantia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12426.7708148411,12426.7708148411,0,5325.75892064619,0,8876.26486774365,8876.26486774365,0,37280.3124445233,3550.50594709746
