#NAME,Experiment,Tissue type,DOL,Genotype
1,C,colon,DOL8,Sig Homo 
2,C,colon,DOL8,Sig WT
3,C,colon,DOL8,Sig HET
4,F,colon,DOL8,Sig Homo 
5,F,colon,DOL8,Sig WT
6,F,colon,DOL8,Sig HET
7,C,colon,DOL8,Sig Homo
8,C,colon,DOL8,Sig Homo
9,F,colon,DOL8,Sig HET
10,F,colon,DOL8,Sig WT
11,C,colon,DOL8,Sig WT
12,C,colon,DOL8,Sig HET
13,C,colon,DOL8,Sig Homo
14,C,colon,DOL8,Sig HET
15,C,colon,DOL8,Sig HET
16,F,colon,DOL8,Sig Homo
17,F,colon,DOL8,Sig HET
18,F,colon,DOL8,Sig WT
19,F,colon,DOL8,Sig HET
20,F,colon,DOL8,Sig WT
21,F,colon,DOL8,Sig HET
22,C,colon,DOL8,Sig WT
23,C,colon,DOL8,Sig Homo
24,C,colon,DOL8,Sig Homo
25,C,colon,DOL8,Sig WT
26,F,colon,DOL8,Sig HET
27,F,colon,DOL8,Sig WT
28,F,colon,DOL8,Sig HET
29,F,colon,DOL8,Sig Homo
30,C,colon,DOL8,Sig Homo
31,F,colon,DOL8,Sig HET
32,F,colon,DOL8,Sig WT
33,F,colon,DOL8,Sig HET
34,F,colon,DOL8,Sig HET
35,F,colon,DOL8,Sig HET
36,F,colon,DOL8,Sig WT
37,F,colon,DOL8,Sig Homo
38,F,colon,DOL8,Sig HET
39,F,colon,DOL8,Sig WT
40,C,colon,DOL8,Sig WT
41,C,colon,DOL8,Sig Homo
42,C,colon,DOL8,Sig Homo
43,C,colon,DOL8,Sig HET
44,F,colon,DOL8,Sig WT
45,F,colon,DOL8,Sig Homo
46,C,colon,DOL8,Sig WT
47,C,colon,DOL8,Sig Homo
48,C,colon,DOL8,Sig HET
49,C,colon,DOL8,Sig HET
