104B,31,086B,45,220B,231B,079B,140B,242B,166B,151B,122B,247B,32,125B,095B,219B,074B,085B,49,1,058B,37,241B,232B,27,48,144B,135B,2,33,107B,163B,070B,084B,076B,099B,263B,132B,257B,154B,6,13,165B,083B,250B,35,091B,10,36,46,23,167B,056B,149B,25,18,238B,39,44,261B,078B,40,138B,9,092B,093B,108B,#NAME,249B,098B,156B,229B,061B,118B,233B,236B,071B,26,28,067B,094B,16,147B,223B,120B,102B,137B,47,22,258B,11,30,127B,224B,259B,24,245B,136B,225B,103B,19,116B,152B,068B,111B,063B,089B,222B,217B,121B,100B,097B,129B,153B,169B,246B,3,065B,101B,159B,148B,057B,134B,128B,7,14,158B,053B,080B,115B,114B,4,17,216B,29,126B,077B,43,109B,054B,119B,143B,157B,251B,161B,090B,230B,066B,218B,131B,051B,123B,160B,145B,253B,254B,255B,34,240B,082B,072B,168B,113B,052B,21,20,248B,142B,081B,42,214B,105B,073B,38,055B,256B,112B,8,262B,117B,124B,243B,234B,41,155B,096B,106B,146B,069B,133B,215B,064B,228B,062B,088B,150B,141B,162B,15,237B,139B,130B,244B,235B,059B,075B,087B,110B,239B,260B,226B,227B,221B,5,164B,252B,060B,050B
81237,362,43722,7736,256,4850,40,9851,478,50403,33456,69933,5504,15614,60580,34783,33,3171,32789,60506,79024,9884,3436,161,4634,3013,65386,29273,62347,68214,3891,24935,27677,6265,6221,49227,1749,19769,62390,30689,4381,1801,47940,25183,24494,16615,40274,2380,4422,49692,40495,67241,38858,253,16141,64370,12182,4590,62759,28817,20224,300,43122,64756,10408,8259,469,31986,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,12011,268,10452,998,160,69315,1042,8152,9513,7749,10473,76902,1954,3447,38720,738,68171,26653,64374,43195,41778,3073,50388,34297,70183,231,17606,67961,275,67483,322,11424,4260,44712,33410,206,48212,114,21408,207,392,45000,1991,48567,61395,7911,21436,173,75562,69775,608,13499,11464,110,96709,39932,76450,42325,960,106,10568,70113,73158,2245,1182,5165,21695,59737,1188,45099,32537,1148,68325,23889,4579,17750,14761,4171,9202,90386,341,37680,1898,56909,8247,15137,10969,17105,16492,737,3314,11507,506,29440,69895,36150,14816,26764,585,12299,27328,58837,776,29925,16877,68000,260,22522,63625,67741,21461,40192,33236,207,9710,61382,6298,41459,2685,12617,548,53056,2070,66327,7132,4167,29612,16801,16205,9967,47632,9390,31718,75325,465,4219,38512,44293,43052,43091,14012,14138,4811,2680,84,5772,30732,18996,38222,15487
3716,71280,12303,83687,320,70,0,1108,83,0,721,0,1561,51739,0,13960,10552,26,41,14154,112,14533,876,1513,72,71081,4529,4854,0,119,59443,13,17,92,79,54,15239,0,8,23,0,53539,40019,14,48,99,210,8342,67843,119,31345,31246,32,21737,41,27650,66195,146,149,43993,620,52,35024,0,51014,794,41,0,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella,1148,450,1270,132,1649,0,42,46,22,61560,55755,38,251,72067,16,236,4,55,10,35563,31022,2123,27599,14280,9,263,448,29885,4354,0,613,0,72604,19,13,133,9,2229,8618,117,80,5,21,0,0,16,55,598,87,22,367,3563,26,4849,32,16,1279,33129,50,2862,17,39,0,71463,52434,10255,65148,0,33,37296,0,12252,14,12668,113,19,0,166,301,45,199,0,33816,0,14,8170,54,204,0,78750,185,87,21,5,16,34646,63921,48051,308,7500,51,25931,72,52,23,148,338,115,5,66,11,0,3,192,2720,16635,364,19,14,6045,0,17,98,24,1213,29735,50,133,813,38,33063,66,37,52,414,90,10554,52,0,11,19,1579,3343,847,168,61929,13,0,12258,37063
7197,50,288,174,2300,3166,613,3904,0,234,256,0,1113,94,0,3036,2351,2143,12806,1250,1437,123,45475,0,2288,158,2600,749,0,1060,31,2790,2831,610,1785,691,0,83,0,3744,3046,571,1421,370,23564,433,18649,267,1972,8648,552,423,97,1181,131,234,99,3808,5376,110,119,450,326,0,355,4445,429,0,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Muribacter,1053,75,1874,2817,208,0,469,5178,221,9,10,5632,843,122,562,723,0,10328,0,635,975,90,341,377,0,2254,1110,223,60,0,3039,7307,292,0,199,1102,0,37,74,0,688,0,503,4683,0,444,29,550,1513,5957,0,721,1456,179,14,0,1236,420,0,18,6493,0,0,65,80,36,45,0,110,286,0,55,0,206,2894,168,1854,637,2750,9685,715,0,13,0,1305,470,71,613,118,274,1098,9603,658,141,0,1597,353,61,560,3389,10297,445,6718,4796,5903,405,555,1581,0,2123,180,0,0,74,1788,750,1681,2728,3886,787,2399,0,1141,5174,3659,17,2559,504,2244,1011,560,4207,5223,0,151,2358,3571,9506,1846,0,2308,364,2816,3893,1705,2354,1277,263,135,551
0,20,22,93,1956,55,248,22,1667,0,22,0,1573,17,0,130,5726,21,242,0,1673,21,879,1553,160,1357,0,15,0,3455,37,0,268,2463,97,21,13085,1640,0,302,53,521,388,0,388,102,2550,5352,8590,15130,0,14,0,2787,120,29,980,110,1623,211,456,2697,24,0,5367,28898,17011,0,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,121,19651,34,43,608,0,102,148,6819,102,1076,21,10834,743,51,1458,0,0,0,0,42,726,115,0,0,4504,798,54,2976,0,3095,0,1577,0,33,1296,0,240,6617,1546,206,0,19402,275,0,83,34,824,3156,38,2586,53,24,397,7,12,9,91,90,161,35,11,14,1148,403,402,1520,0,1122,29,0,7134,0,107,73,62,57,5235,124,23,6960,0,91,0,53,23,29,80,31,0,73,177,1922,0,0,14,256,830,3380,23,48,29,135,12,58,6475,1129,945,0,13,210,0,0,631,54,26,84,243,0,0,13118,9,108,0,50,5934,49,169,26,137,92,72,656,13,3751,182,105,30,44,0,41,571,233,56,5948,7138,0,132,20,0
5,0,0,0,0,0,0,0,0,5,16,8,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,2813,0,0,0,0,0,0,0,9,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18756,0,0,0,2154,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Candidatus_Arthromitus,0,0,0,0,0,13396,0,0,0,0,0,0,0,0,9,0,0,0,12276,0,0,25,0,0,0,0,0,0,0,5618,0,9,0,3006,5,0,18278,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,0,0,0,13658,11819,4,0,0,0,64,0,0,3075,0,8929,6,0,0,0,0,0,0,0,0,0,6005,0,0,0,5,0,0,0,0,0,0,7591,0,5,0,0,6,0,0,0,6,0,0,0,0,2599,0,0,27286,7972,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,8,0,0,14,0,0,0,0,0,0,4134,0,0,0,0,0,0,5,0,0,0
4291,0,1548,767,179,623,181,404,190,588,191,36,226,72,198,338,284,245,125,3381,5027,1767,345,292,44,123,7123,203,66,4631,64,393,258,579,299,807,122,1496,28,2453,315,162,652,495,409,1433,3946,681,826,5781,1745,1807,287,121,419,1107,220,1139,3547,1507,970,158,1877,34,177,5716,1094,55,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,1086,431,214,112,464,78,33,892,460,18,142,89,850,89,222,149,118,632,38,1830,810,549,827,743,9,188,560,2516,203,78,890,1075,196,101,357,523,87,267,820,61,77,65,360,485,60,244,166,0,4584,111,407,60,235,288,101,166,4832,458,255,54,225,62,121,50,157,298,379,29,233,1736,58,308,63,285,73,1149,366,901,504,87,180,24,170,65,223,322,1315,586,274,14,54,247,1469,310,188,2056,42,180,322,343,245,1470,25,780,3912,1297,418,849,67,5815,533,81,41,56,694,2480,168,414,440,270,1701,49,248,58,675,468,2439,451,584,312,623,723,297,109,364,73,1515,979,923,126,505,589,573,870,73,505,403,1810,744,447
0,0,0,0,133,80,0,61,105,0,0,0,102,0,35,9195,23,0,0,544,0,0,22,93,109,0,3052,0,0,0,0,0,1676,0,361,0,10,0,0,0,0,0,0,0,1202,0,0,0,0,0,50,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella,0,0,0,38,0,0,71,56,0,0,0,0,0,0,0,222,0,0,0,125,0,109,0,0,0,45,25,0,73,0,108,2173,0,0,0,0,0,0,0,122,102,0,0,18201,0,0,0,84,0,0,119,4,0,0,10,0,0,0,0,0,0,18,50,0,0,0,0,0,0,0,0,0,201,11,0,0,4126,0,116,0,54,0,3,0,1473,0,0,0,0,0,111,0,0,0,0,0,0,0,105,0,0,0,92,7,0,0,0,0,0,0,0,0,0,124,40,0,0,11825,0,0,0,0,105,0,36,0,0,0,0,33,0,69,0,0,43,114,0,0,0,0,0,25,52,64,83,0,0,0,0,0
2252,92,4,71,128,38,73,10,413,22,0,0,1966,26,0,39,1621,0,0,20,74,0,291,3106,61,72,16,0,0,20,66,0,0,19726,0,0,47,0,0,0,0,246,9,18,0,0,247,1313,57,116,11,0,0,1492,19,6,23,66,180,77,390,133,15,0,77,789,1181,0,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,840,0,0,6,20,6,37,36,2815,152,59,0,407,35,0,196,0,8,0,13,0,1240,14,0,0,419,213,9,852,0,1900,13,53,0,0,7042,0,20,2246,142,59,0,0,0,0,0,72,127,17,0,82,0,0,51,23,0,22,17,0,409,0,5,0,105,92,2646,24,0,168,118,0,2182,0,16,0,0,0,98,136,0,305,0,776,0,0,0,0,0,0,129,65,0,1212,0,0,0,95,37,598,0,0,43,71,0,0,208,67,29,0,16,0,0,0,167,0,37,0,11,0,0,8533,0,31,0,0,0,0,0,0,0,11,31,19,0,1223,73,0,11,0,0,0,798,55,0,41,56,0,0,12,0
101,10,331,9,290,279,1672,589,787,393,526,45,645,5,107,397,153,795,467,0,0,801,23,485,496,0,3,274,64,3,16,328,254,1789,645,741,194,0,22,0,264,14,0,304,1107,0,35,729,9,14,0,0,203,1681,504,0,0,461,0,8,0,2211,0,19,0,1193,1030,29,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,0,690,227,225,1558,19,283,280,945,26,8,292,910,0,452,434,41,973,26,2,0,128,0,0,13,642,17,0,720,49,627,960,0,32,464,2738,77,2135,1402,425,305,65,440,212,28,524,455,677,4,389,576,208,462,2039,50,38,0,0,576,3076,607,16,71,0,9,0,0,17,1395,2,47,2163,17,576,238,0,406,1325,339,557,338,41,1961,16,185,593,0,0,24,0,961,914,1648,432,66,764,0,0,732,837,535,0,1110,397,1699,19,1818,4,50,0,0,56,39,930,161,0,358,352,324,582,1563,35,324,145,414,766,503,558,256,419,0,822,191,27,1029,709,319,778,349,51,209,14,524,344,199,0,248,14,532,470
1518,298,0,469,172,8,0,4,18,0,0,99,234,156,70,0,0,0,0,71,60,0,1608,65,35,182,100,0,297,81,220,0,0,0,0,0,0,0,34,24,0,739,56,0,0,69,828,0,128,584,71,44,0,30,14,48,81,37,677,327,115,0,58,107,206,15,30,308,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group,235,0,0,0,0,229,0,40,0,582,303,0,0,182,0,139,78,0,188,15,48,403,77,16,39,58,64,63,54,429,0,0,255,378,0,0,66,0,89,75,34,399,0,0,1110,0,0,65,105,0,0,0,9,0,17,1480,72,93,0,0,0,225,3,351,413,274,164,80,0,61,1453,269,25,3,0,12,0,0,0,0,0,126,73,199,17,42,40,54,96,493,48,0,0,0,465,8,586,355,115,30,0,43,14,0,0,610,0,43,143,75,0,169,54,189,10,241,0,0,0,0,0,155,32,0,0,0,0,0,0,15,39,35,0,128,99,109,0,0,0,924,0,183,51,13,0,249,0,0,0,0
