"class","4","5","6","9","10","16","17","18","19","20","21","26","27","28","29","31","32","33","34","35","36","37","38","39","44","45"
"Actinobacteria"," 17"," 15"," 64"," 23"," 10"," 28"," 71"," 11"," 18"," 46"," 36"," 35"," 21"," 46","  1"," 22"," 35"," 15"," 34"," 76"," 43","152"," 63"," 47"," 34"," 13"
"Armatimonadetes"," 5"," 8"," 0"," 0"," 3"," 0"," 0"," 0"," 6","11"," 2","13"," 2"," 2"," 0"," 0"," 0"," 0"," 3","22"," 3","15"," 5"," 5"," 7"," 7"
"Bacteroidetes"," 2316"," 1737"," 5385"," 1645","  877"," 1305"," 3766","  612"," 1880"," 2088"," 3306"," 4195"," 1605"," 1862"," 1002"," 2524"," 1340"," 2319"," 3364"," 5612"," 2942","10076"," 4013"," 4940"," 2363"," 2406"
"Cyanobacteria"," 45"," 36","110","  6"," 29"," 29"," 59"," 13"," 68"," 35"," 35","113"," 41","  8"," 16"," 49"," 21"," 49"," 41","142"," 39","210","116","120"," 49"," 62"
"Epsilonbacteraeota"," 0"," 0"," 6"," 5"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 6"," 7"," 0"," 0"," 0"," 0"," 0"," 5","12"," 9","19"," 3","13"," 6"," 4"
"Euglenozoa","16"," 0","17"," 2"," 0"," 0"," 7"," 0"," 4"," 6","15"," 3"," 0"," 0"," 5"," 8"," 0"," 9","13","11"," 4","83"," 8","21"," 0"," 2"
"Firmicutes"," 3482","10665"," 4492","14590","10229"," 3658"," 3020","10144"," 5078","21516","11852"," 7605"," 3862","10799","16158"," 1093","14152"," 4319"," 1661","37901","50775"," 8062","54346","49647","23995"," 6121"
"Patescibacteria"," 0"," 0","22"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 4"," 0"," 0"," 0"," 0"," 0"," 5"," 7","13"," 0"," 0"," 0"," 0"
"Planctomycetes","33","11","63","16"," 8","14","30"," 0","20"," 6","24","54","10"," 0"," 0","12"," 9","13","26","42","19","54","19","34"," 7","16"
"Proteobacteria","55649","49184","50958","45462","50652","56658","54462","51031","54513","37894","46131","49182","56121","48907","44575","57837","46174","54908","56364","17269"," 7622","41729"," 2835"," 6558","35168","52982"
"Tenericutes","26"," 0","10","11"," 0"," 0"," 7"," 0"," 0","11","12","28"," 0","12"," 4"," 0"," 0","17","13","45"," 8","68","10"," 5"," 6"," 0"
"Verrucomicrobia"," 349"," 282"," 811"," 171"," 130"," 246"," 510"," 127"," 351"," 325"," 525"," 704"," 265"," 298"," 177"," 393"," 207"," 289"," 414"," 801"," 467","1457"," 520"," 548"," 303"," 325"
"Genotype","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_WT","Sig_Homo_HET"
"sample","4","5","6","9","10","16","17","18","19","20","21","26","27","28","29","31","32","33","34","35","36","37","38","39","44","45"
