"","073B","075B","081B","083B","085B","088B","097B","105B","106B","107B","111B","115B","119B","120B","124B","129B","134B","135B","137B","140B","146B","151B","156B","158B","161B","162B","167B","215B","226B","227B","228B","235B","258B","259B","260B","261B"
"Acetobacter"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","26","10","14","11","33","24"," 4"," 1"," 2"
"Acholeplasma","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","6","4","5","4","0","0","0"
"Acinetobacter"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0","99","44","43","23","35","49"," 5"," 5"," 0"
"Aerococcus"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","13"," 0"," 0"," 0"," 3"," 2"," 4"," 4","13"," 4"," 0"," 0"," 0"
"Akkermansia"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","16"," 0"," 0"," 0","17"," 4","12"," 0"," 4","11"," 0"," 3"," 0"
"Alistipes"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 1"," 0"," 7"," 2"," 7"," 0"," 2"," 0"," 2"," 0"," 0"," 0"," 6"," 0","29","21","10"," 2","26","42"," 0"," 1"," 2"
"Alloprevotella"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","33","19"," 9"," 3","11","13"," 4"," 0"," 1"
"Arcobacter"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0","38","26","26"," 5","27","30"," 5"," 3"," 0"
"Bacillus","4","1","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","4","0","0","0","4","1","0","0","0"
"Bacteroides","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1"," 79"," 83"," 40"," 34","105","148"," 15"," 27"," 21"
