"class","1","2","3","7","8","11","13","14","15","22","23","24","25","30","40","41","42","43","46","47","48","49"
"Actinobacteria"," 0","10"," 7","10","16","10"," 0"," 0"," 0"," 0"," 4"," 0"," 4"," 0"," 0","10"," 0"," 3"," 0"," 2"," 0","10"
"Alphaproteobacteria","122","167","158","124","137","132"," 74"," 99"," 73"," 96"," 50"," 65"," 70"," 37"," 75","305"," 75"," 55"," 91"," 48"," 93","105"
"Bacilli","48134","47872","47991","47487","47491","31558","26724","27514","29267","28252","33932","34530","34615","35073","27478","37138","34390","27503","28147","27308","44561","39590"
"Bacteroidia"," 346"," 617"," 429"," 460"," 454"," 543"," 300"," 338"," 230"," 272"," 215"," 304"," 214","  74"," 329","1301"," 226"," 205"," 355"," 221"," 416"," 388"
"Clostridia"," 41","149","124","132"," 95","118"," 67","111"," 55"," 74"," 33"," 61"," 36"," 13"," 77","369"," 60"," 77"," 89"," 48","124"," 97"
"Deltaproteobacteria"," 4"," 8"," 8"," 4"," 4"," 2"," 0","11"," 6"," 2"," 1"," 5"," 5"," 0"," 3","33"," 5"," 5"," 6"," 8"," 0"," 5"
"Gammaproteobacteria"," 1140","  890"," 1053"," 1583"," 1572","17402","22644","21708","20194","21073","15583","14828","14859","14636","21785","10448","15058","21964","21115","22190"," 4608"," 9587"
"Sericytochromatia"," 3","17"," 0"," 2"," 0"," 7"," 0"," 0"," 6","10"," 7","14"," 8"," 0"," 0","18"," 7"," 9"," 0"," 1"," 7","10"
"Verrucomicrobiae"," 71","131"," 91"," 59"," 92"," 89"," 52"," 80"," 30"," 82"," 36"," 54"," 50"," 28","114","239"," 40"," 40"," 58"," 35"," 52"," 69"
"Mollicutes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Genotype","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET"
"sample","1","2","3","7","8","11","13","14","15","22","23","24","25","30","40","41","42","43","46","47","48","49"
