"class","1","2","3","7","8","11","13","14","15","22","23","24","25","30","40","41","42","43","46","47","48","49"
"Acetobacter","12","31","16","14","21","27","13"," 0","12","27"," 7"," 9"," 9"," 0","11","64","16","10","11","11","24","21"
"Aeromonas"," 61"," 99"," 66"," 91"," 75"," 60"," 19"," 38"," 37"," 50"," 10"," 41"," 30","  0"," 28","175"," 21"," 21"," 34"," 24"," 69"," 44"
"Akkermansia","16","28","25","10","20","22","10","13"," 3","16"," 6","12","15"," 0","25","66"," 8","12"," 9"," 7"," 8","12"
"Alistipes"," 8","57","17","37","49","33","14","44"," 8","22","25","16"," 5"," 9","17","78","12","10","30","25","29","11"
"Alloprevotella"," 34"," 49"," 46"," 37"," 57"," 45"," 26"," 36"," 43"," 25"," 27"," 15"," 20"," 31"," 25","150"," 34"," 15"," 56"," 24"," 36"," 39"
"Anaerotruncus"," 0"," 9"," 5","11"," 4"," 3"," 3"," 8"," 0"," 1"," 3"," 1"," 2"," 0"," 1","17"," 0"," 0"," 0"," 5"," 5","12"
"Bacteroides","39","36","47","32","28","39","18","35","11","34","25","40","15"," 0","25","69","14"," 9","60","20","34","25"
"Bdellovibrio"," 0"," 5"," 2"," 0"," 4"," 0"," 0"," 9"," 6"," 1"," 0"," 0"," 5"," 0"," 0","16"," 1"," 5"," 0"," 5"," 0"," 2"
"Bilophila"," 4"," 3"," 6"," 4"," 0"," 2"," 0"," 2"," 0"," 1"," 1"," 5"," 0"," 0"," 3","17"," 4"," 0"," 6"," 3"," 0"," 3"
"Chryseobacterium","19"," 8","11"," 6"," 4","12"," 6"," 3"," 3"," 0"," 8","11","14"," 0"," 5","34","10"," 3"," 1"," 5"," 9","16"
"Citrobacter"," 0","13"," 4"," 7","11"," 5"," 0"," 0"," 7"," 0"," 3"," 0"," 0"," 0"," 0","10"," 0"," 0"," 0"," 0","11"," 0"
"Cloacibacterium"," 0"," 0"," 0"," 2"," 5"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 9"," 3"," 0"," 2"," 0"," 0","11"
"Clostridium_sensu_stricto_9","0","7","0","0","0","4","0","0","5","0","0","0","2","0","0","4","0","0","0","0","0","0"
"Dyadobacter"," 8","19"," 9","17","15","16"," 3"," 7"," 5","21"," 0","10","14"," 0"," 6","30"," 2"," 2"," 8"," 0"," 0","10"
"Enterococcus","49","11"," 5","18","16"," 7"," 6"," 5"," 9"," 0"," 0"," 7"," 4"," 0"," 8","25","31","68"," 6"," 9"," 9","13"
"Escherichia_Shigella","   68","   72","   48","  779","   59","17091","21834","21386","19822","20335","15330","14649","14702","14258","21557"," 9691","14759","21769","20696","21772"," 2847"," 8671"
"Lachnoclostridium"," 0","14"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 3"," 1"," 0"," 3"," 4"," 5","10"
"Lachnospiraceae_NK4A136_group"," 26"," 56"," 65"," 60"," 61"," 42"," 37"," 69"," 20"," 28"," 16"," 37"," 22","  7"," 38","140"," 26"," 31"," 51","  3"," 69"," 46"
"Lactobacillus","44381","42758","43620","44576","43701","30982","26114","27176","28842","27690","32981","33292","34044","34339","26302","35700","33459","26380","27021","26176","40092","37526"
"Leucobacter"," 0","10"," 7","10","16","10"," 0"," 0"," 0"," 0"," 4"," 0"," 4"," 0"," 0","10"," 0"," 3"," 0"," 2"," 0","10"
"Luteolibacter","3","0","0","0","0","3","1","1","0","2","0","0","3","0","9","7","0","3","1","1","0","3"
"Muribacter"," 822"," 666"," 873"," 675","1392"," 207"," 768"," 249"," 313"," 665"," 225"," 110"," 111"," 370"," 194"," 454"," 244"," 168"," 375"," 386","1645"," 827"
"Not_Assigned","199","400","262","321","245","352","208","152","163","153"," 95","207","131"," 21","222","893","147","174","167","143","255","269"
"Oscillibacter"," 3"," 6"," 7","11"," 0","14"," 0"," 7"," 0","10"," 0"," 0"," 3"," 0"," 3","20"," 0"," 7","10","15"," 8"," 9"
"Persicitalea"," 6","21","12","13","14","11"," 6","27"," 0"," 0"," 1"," 7"," 0"," 0"," 0","27"," 4"," 0"," 5"," 1"," 8"," 1"
"Phyllobacterium"," 55"," 51"," 69"," 74"," 50"," 56"," 21"," 50"," 24"," 30"," 25"," 28"," 25"," 16"," 20","128"," 32"," 22"," 45"," 26"," 50"," 52"
"Prevotellaceae_UCG_001","31","51","31","30","43","32","17","22","17","15","26","17","25","13","28","85"," 5","12","26","13","36","23"
"Prosthecobacter","32","76","38","23","40","38","27","28","12","34","17","14","15","14","41","85","23","11","24","11","15","22"
"Proteus","169"," 12"," 26"," 12"," 13"," 14","  6"," 10","  0","  0","  3"," 12","  6","  8","  6"," 41"," 19","  1","  5","  2"," 17"," 19"
"Pseudacidovorax","18"," 8","23","12"," 0","14"," 0"," 0"," 9","14","12"," 6","10"," 0"," 0","40","11"," 0"," 4"," 6","19","21"
"Rikenellaceae_RC9_gut_group","31","39","36","23","23","37","18","24","12","25","22","15","12"," 0","20","58","13","11","23"," 9","40","21"
"Romboutsia"," 2"," 0"," 8"," 4"," 0"," 7"," 7"," 6"," 0"," 0"," 0"," 0"," 1"," 0"," 9","16","14"," 0"," 0"," 0"," 0"," 0"
"Ruminiclostridium"," 0"," 0"," 0"," 0"," 3"," 0"," 2"," 0"," 0"," 0"," 1"," 4"," 0"," 0"," 0","25"," 0"," 5"," 0"," 4"," 0"," 0"
"Ruminiclostridium_9"," 0","28"," 8","14","18","24"," 9","18","10","19"," 6","10"," 6"," 6"," 9","51"," 9","12"," 6"," 0","10"," 4"
"Runella","0","5","1","0","0","2","0","2","0","2","1","0","0","0","0","0","5","0","6","0","3","0"
"Sphingomonas"," 8","25","18","14","25","27"," 6","15","14","13"," 9"," 6","10"," 0","21","56"," 6"," 6"," 5"," 0"," 0","18"
"Staphylococcus"," 885","2167","1724","  11","  11","  83"," 233","  51","  60","  25","   6","  17","  14","   0","  16","  13","  18","  17","   0","   0","   0","   0"
"Streptococcus","2819","2936","2642","2882","3763"," 486"," 371"," 282"," 356"," 537"," 945","1214"," 553"," 734","1152","1400"," 882","1038","1120","1123","4460","2051"
"Tabrizicola","6","7","6","0","7","0","0","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0"
"Taonella"," 5"," 0","12"," 1"," 0"," 0"," 0"," 5"," 3"," 0"," 0"," 0"," 0"," 0"," 1"," 9"," 3"," 0"," 0"," 0"," 1"," 0"
"Terrimicrobium","18","24","22","18","32","23","14","36","15","30","12","24","17","14","39","68"," 9","14","24","15","29","25"
"Wolbachia","22","38","37","12","25","22","30","26","20","26"," 4","16","12","21","16","48","16","17","21","11","18","14"
"Zoogloea"," 2","16"," 0"," 0","11"," 6","14","19"," 0"," 5"," 0"," 3"," 0"," 0"," 0","29"," 0"," 5"," 0"," 0"," 0"," 0"
"Genotype","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET"
"sample","1","2","3","7","8","11","13","14","15","22","23","24","25","30","40","41","42","43","46","47","48","49"
