#NAME,Experiment,Tissue type,DOL,Genotype
050A,C,colon,DOL11,Sig Homo_HET 
051A,C,colon,DOL11,Sig Homo_HET
052A,C,colon,DOL11,Sig Homo_HET 
058A,C,colon,DOL11,Sig Homo_HET
059A,C,colon,DOL11,Sig Homo_HET
060A,C,colon,DOL11,Sig Homo_HET
064A,C,colon,DOL11,Sig Homo_HET
065A,C,colon,DOL11,Sig Homo_HET
066A,C,colon,DOL11,Sig Homo_HET
067A,C,colon,DOL11,Sig Homo_HET
073A,C,colon,DOL11,Sig WT
074A,C,colon,DOL11,Sig Homo_HET
075A,C,colon,DOL11,Sig WT
076A,C,colon,DOL11,Sig Homo_HET
080A,C,colon,DOL11,Sig Homo_HET
081A,C,colon,DOL11,Sig WT
082A,C,colon,DOL11,Sig Homo_HET
083A,C,colon,DOL11,Sig WT
084A,C,colon,DOL11,Sig Homo_HET
085A,C,colon,DOL11,Sig WT
086A,C,colon,DOL11,Sig Homo_HET
087A,C,colon,DOL11,Sig Homo_HET
088A,C,colon,DOL11,Sig WT
095A,C,colon,DOL11,Sig Homo_HET
096A,C,colon,DOL11,Sig Homo_HET
097A,C,colon,DOL11,Sig WT
102A,C,colon,DOL11,Sig Homo_HET
103A,C,colon,DOL11,Sig Homo_HET
104A,C,colon,DOL11,Sig Homo_HET
105A,C,colon,DOL11,Sig WT
106A,C,colon,DOL11,Sig WT
107A,C,colon,DOL11,Sig WT
214A,C,colon,DOL11,Sig Homo_HET
215A,C,colon,DOL11,Sig WT
216A,C,colon,DOL11,Sig Homo_HET
226A,C,colon,DOL11,Sig WT
227A,C,colon,DOL11,Sig WT
228A,C,colon,DOL11,Sig WT
229A,C,colon,DOL11,Sig Homo_HET
230A,C,colon,DOL11,Sig Homo_HET
231A,C,colon,DOL11,Sig Homo_HET
232A,C,colon,DOL11,Sig Homo_HET
233A,C,colon,DOL11,Sig Homo_HET
234A,C,colon,DOL11,Sig Homo_HET
235A,C,colon,DOL11,Sig WT
236A,C,colon,DOL11,Sig Homo_HET
237A,C,colon,DOL11,Sig Homo_HET
238A,C,colon,DOL11,Sig Homo_HET
239A,C,colon,DOL11,Sig Homo_HET
240A,C,colon,DOL11,Sig Homo_HET
