function	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
EC:1.1.1.1	117507.34	117151.76	93361.68	86558.0	75588.26999999999	96595.19	88864.20999999999	101008.23	97947.79	116200.65	27304.71	68366.98000000001	51080.62	48266.01	68255.0	70364.81	135689.88999999998	84736.54	83753.0	98473.2	96433.44	153943.6	90747.26	11666.73	75481.23	17140.09	35354.83	16683.14	29289.75	26427.56
EC:1.1.1.100	101886.84	92445.39	70956.23	66342.0	57963.62999999999	74587.49	72402.97	74382.62999999999	72893.54	85162.02	46072.82	50228.22	36545.96	30678.17	50119.17	64269.880000000005	106715.07	69958.69	72159.08	78202.00000000001	76230.17	120414.12	69577.26	11958.67	58058.130000000005	24412.39	44237.6	19496.38	26686.23	35414.33
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	242.25	47.25	418.0	669.0	591.74	1467.25	1384.86	543.17	21.0	12.75	283.25	3234.33	3376.08	3434.67	1641.75	592.42	550.75	923.1	701.8699999999999	532.92	598.0300000000001	2582.4	56.4	185.5	119.25	474.2	1360.94	436.08	414.08	450.71
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	7.25	0.0	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	64.0	51.0	325.0	398.0	610.0	285.0	73.0	18.0	55.0	17.0	99.0	0.0	0.0	0.0	23.0	2242.0	1311.0	1461.67	1966.75	1161.42	1062.92	552.0	457.0	497.25	438.0	403.0	672.5	287.0	431.0	796.33
EC:1.1.1.11	0.0	0.0	418.0	669.0	586.99	0.0	1068.86	0.0	0.0	0.0	0.0	3.25	5.0	0.0	0.0	21.0	15.0	0.0	178.72	0.0	9.0	2505.44	8.0	0.0	0.0	53.67	37.42	22.75	9.0	71.17
EC:1.1.1.122	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	579.33	542.0	944.0	553.0	522.0	569.0	74.0	44.0	168.25	110.0	23.67	175.25	6.0	51.5	17.67
EC:1.1.1.125	19.75	19.25	836.0	1338.0	1178.73	1388.75	2146.8900000000003	543.17	19.0	12.75	100.75	3242.0	3369.08	3436.67	1624.75	630.75	581.75	980.5	882.1700000000001	549.8399999999999	620.25	5093.549999999999	62.4	239.75	132.25	403.67	1638.78	484.58	558.25	439.84
EC:1.1.1.130	254.59000000000003	189.75	154.82999999999998	140.5	787.0799999999999	1505.34	42.0	895.5	275.94	323.41	65.75	3507.61	3538.58	3485.5	2355.42	971.92	1567.42	1684.33	3787.97	2109.59	433.83	777.8399999999999	792.1600000000001	641.66	459.58	228.92	1343.56	889.5699999999999	947.43	488.03
EC:1.1.1.132	12.0	22.0	7.0	0.0	35.0	40.0	9.0	18.0	37.0	17.0	0.0	0.0	0.0	0.0	0.0	1624.0	737.0	496.67	1080.75	419.42	485.92	212.0	397.0	315.75	328.0	273.0	461.0	204.0	382.4	641.0
