pathway	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
1CMET2-PWY	19904.24966588248	11652.19254505556	3739.541191646593	4526.430397404629	4750.897635858084	10825.098176908265	10352.64818132032	5192.939698372102	4307.993517720033	1467.0551523190318	19759.11223747878	12609.87306155088	10846.843008779724	8425.42144797945	10407.401053530157	11221.424680244842	11804.564317054346	12969.772304276994	15565.682757532257	11741.665128796169	8419.688523287705	11141.843173831345	4908.239948242672	3292.2120923560515	3939.072799784019	7971.505364134396	14498.3289058972	6537.671466234829	7599.563342374695	10972.97796757275
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	20.86140130311104	35.87582530184338	588.7743556562594	947.0309673190768	880.223024021702	102.3588688372854	1427.7674468650982	39.3712541932504	63.38072523918796	27.58439982072015	0.0	185.5435287334627	248.64026067634808	157.2537278868923	54.80120561091149	2404.584073435309	1090.453360785744	801.2192429990063	1822.5100709486887	664.1868508007902	765.193397566197	3572.76151676129	552.8122395695074	468.5554258456722	478.6764290358244	603.2965474014894	811.2259033565193	375.9292778310541	581.2973955746927	1186.0495510469173
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	0.0	24.0	0.0	6.67	0.0	0.0	0.0	151.60572337042925	198.33	134.67	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3294910956140855
ALL-CHORISMATE-PWY	237.57305349377972	263.6812201547876	1172.5134443164443	1736.6808003928816	2232.681496849429	3124.1444858088075	2520.6342377168	1520.4208368966254	242.1460110461136	168.82065476856187	29.813386594434192	5329.631246431768	5112.907081198342	4708.130388343229	3114.431703347304	585.1759039650814	422.564744815318	442.02807854833287	2636.8614287219607	407.1332894191648	572.7942629542146	5125.04405102992	217.33210187734664	209.52218519733	200.37435738192536	2182.782054932694	5428.591227453312	2134.3592199929767	2216.3917006705574	2505.077472694861
ANAEROFRUCAT-PWY	29744.206616672145	16607.827693364015	10502.48624802409	12654.147609041933	14290.067105467637	23514.95890307285	18504.939063101	14557.09377963716	9094.728702799524	6346.659020193041	23129.81976364032	23679.9002134991	19117.21197996898	17431.62219665345	18924.251426087343	16103.85671547448	21146.772230283063	18917.397760186053	25972.23975769099	21284.99043062629	11721.969882647789	28997.22465016245	11068.06335153682	4281.191989483001	8694.943654902214	9251.229864705689	18124.21460269574	8148.263878154753	10831.58882566511	13405.095184289285
ANAGLYCOLYSIS-PWY	50603.16554335859	45761.56280377519	34650.15682605125	32414.640494740383	28412.493447034525	37384.78501334744	35268.25294615148	37342.59500021624	36775.5974809403	41975.83864501663	26292.51357046021	26691.240591239257	20028.83930393723	17880.541278823555	26076.403187538504	25832.986565729872	49310.84260864368	32052.20777458425	32478.56245708832	37504.37661992252	35027.6563526414	56596.68266231832	33046.186160270576	4811.355010655275	27368.247858982748	9937.961886341644	18710.264783125047	8618.678563226655	12607.31696175113	14241.888404860165
ARG+POLYAMINE-SYN	4111.567240970382	550.9958654087432	1148.4801148667104	1685.08461841641	1421.8061837075195	4336.000454477528	3178.4917070507217	1329.3901901567976	221.12811396638395	100.59366522439088	1695.9674331762994	6505.1429100073165	6165.338405450156	5401.3439847274485	3650.170284496987	984.6701793695578	430.8542098189758	471.6569495360495	1126.7690933582544	500.21319218907513	549.8732083074425	4899.692465163077	358.85708806626985	612.4308933320117	339.01082659544727	2910.5778976448423	6050.563079164464	2708.649087900422	2428.5114432753194	3673.868849846925
ARGDEG-PWY	50.30643363628717	47.543072678531445	590.7756306541545	940.0379471755148	828.1927824889696	2289.463908458108	1659.777149875853	850.6048180341145	46.94726365682812	29.34644087068272	6.3625654688863085	4247.859033696112	4306.767336683419	4342.68683178431	2091.710033744864	29.59553803479741	62.05990094844813	46.97473756336552	438.57870252041135	37.04020927741969	60.51129696761306	3387.6847850601366	37.53954539026853	15.02363090053052	9.783973305918318	279.62605517238364	1885.857205123843	565.8926758730773	697.5942634110227	353.7101707437704
ARGORNPROST-PWY	2813.129055686232	641.45441789212	1030.1577443544672	1242.8775177707512	1093.1653556927556	1513.7953322550318	665.8744724533378	643.9875937117139	841.2938379551014	1181.0264585101802	702.4046497444532	425.39455979049694	125.10228983135904	377.0582852815963	90.12278560086187	6302.390414348927	2887.42829976764	1908.35916687343	3181.134618154443	1496.2639153212915	3611.186237236516	1338.7184693290203	1221.4672239567678	1086.93603142015	1027.245812940065	1786.250000609304	3664.512992125488	1602.412523013971	1525.3204091538244	2451.568612347295
ARGSYN-PWY	18393.562358724223	9704.25488257654	4386.112017588697	5262.669749868803	5471.257298448173	10641.238320694472	8087.700332863788	5048.908661853541	4371.936901989341	2094.7869795176707	13468.731754077098	8735.101741054206	7835.484992437901	6425.756705846255	5155.351493701003	12820.25332806682	9330.607588286968	7849.214064279332	13299.225079662148	7938.318749189705	7327.637766004172	9509.900117928031	4897.926686030779	2878.127312842301	3636.4239391717774	7072.546956503958	12878.902168190803	5744.585379557248	6016.881137275932	9616.282608270732
ARGSYNBSUB-PWY	15801.837697743766	8144.61053771405	3679.252006954496	4317.02638523161	4651.259994012762	8721.154039586974	6587.516759190274	3867.148948795219	3385.583565210392	1555.0715498744723	12293.759237436474	7995.417849485823	7306.990131076807	6085.344906576294	4358.920827631417	11469.678644223384	8426.20516930632	7386.670784170404	12882.903268741917	7567.035982144981	6315.541209037834	8444.503972880062	4353.344514248451	2791.830136551362	3214.9408500612167	7260.60262516534	13022.730080277675	5748.554052809461	5902.328130676075	9900.562332662908
ARO-PWY	11153.52900299363	4621.310392873964	2320.973986641264	3208.563817390716	3242.2557723714785	5826.416900687388	5387.162217640221	2553.200650377075	2496.9975316523887	1148.4177771808802	15922.05853675886	7268.334681462261	6725.824506745044	4862.269048608312	5058.561385558608	5829.26168282328	4153.1175602880885	4253.988095153061	7824.601041882271	4303.707398622393	3132.887727890881	6036.72176477986	2307.469926146673	2129.487580438834	1794.8276923244498	7716.626762417439	13669.446830865185	5918.584007617756	5242.353179556992	9852.136013189833
ASPASN-PWY	17028.129362984375	4802.17776031258	2373.4636594477697	3458.283200151488	3342.574752865923	8423.465807621178	9041.391193674275	3911.864735399856	3387.7417478134544	1157.3672608741972	22553.276370377887	8211.150894854529	6986.264449711442	5969.792029869437	4558.802605668824	4805.420798942075	4564.355561585379	5488.237636474938	8761.810030267685	5275.844520469502	2724.1358723657945	6602.375862944438	2433.277289019164	1870.830560533729	1715.9135532312202	7042.682233657159	13867.176648869823	6187.873714799523	6507.900746666427	10189.98792957095
AST-PWY	35.525392237819986	47.03947368421053	429.040289723857	669.0	645.2580797478684	1465.8374589091093	1090.4409952566562	575.2930612012459	64.58563535911603	34.05120481927712	2.75	3328.0674635993446	3481.1226002443696	3512.2524612188354	1650.4127302778147	1947.205814097644	898.1309464221334	642.7660369362507	1491.3012000972674	505.3468352279972	601.2790271834498	2829.862285230652	506.0215397800314	382.90229305408167	398.93049850601847	604.6568635894477	1681.1970556816148	618.9272545604043	851.878042175866	1081.4146571301676
BIOTIN-BIOSYNTHESIS-PWY	517.6043670665138	572.419887073379	1192.3057144913157	1828.0210466655767	2631.3387888826715	4156.616754882559	3443.0483753677017	2239.0444163204847	805.5214802908952	662.3648018572532	554.1076454713007	6919.19761351655	6503.695679422503	6106.320251970109	4438.10293261807	5586.914565366711	4763.252406422151	4646.787524105383	9340.645967315106	4940.523204097546	2305.65113564424	6542.913841772044	2481.282599122797	1898.2557738694595	1819.6173557185348	4877.583227189531	9145.697570405651	3981.4407536345566	4303.32133873109	6898.230367170181
BRANCHED-CHAIN-AA-SYN-PWY	13558.259592230072	5559.236653321071	3159.824791654583	4067.047354014412	4592.609221377198	7816.234157962109	7617.19872948866	3235.347039841041	2459.7821648922777	1022.380826678281	20475.216189062587	9954.312711114731	8862.211051908323	6485.236664865037	7524.405094144527	9276.526701921986	7734.487447615178	8254.649949914008	12932.697585948268	8071.499764648799	5525.045017017591	8841.450983183704	3910.8555270827705	3085.02741755518	2903.1165892681124	8771.441402768254	15541.35547889194	7036.093199933311	7050.830379230181	11591.260393189115
CALVIN-PWY	24980.37642287436	13452.04106436056	8355.073220356513	10435.850949294563	11299.2258782513	17603.083565198864	15604.385862251182	10118.89757573674	7417.850266554892	4884.090804093426	25390.986665329907	17706.076881871264	14971.98647337364	13041.552085514564	12445.750702835248	12349.167368758212	12230.52143988923	11684.507261242525	17922.050159247086	12149.620241391169	8334.295917023035	24252.1138678266	6611.462365240827	3560.1419398834787	5204.08437659426	9225.38970903058	17440.357834717797	7549.77454854169	8836.081472199716	12675.354497355696
CATECHOL-ORTHO-CLEAVAGE-PWY	12.0	22.0	425.00000000000006	669.0	621.99	40.0	1078.7760922123637	18.0	37.0	17.181494661921707	0.0	8.765217391304347	6.31578947368421	0.0	0.0	1811.9917810568	894.3972684974691	649.703304233662	1405.9198826291893	492.3096033591999	560.3456288467568	2734.649270831589	418.1002003012796	357.7223383031051	359.1831932773109	608.555311904019	931.1324341360472	391.3614984905	513.0942027110767	1030.3641312945251
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
