function	140A	146A	151A	156A	158A	161A	162A	167A	258A	259A	260A	261A	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B
EC:1.1.1.1	68011.5	59233.09	79056.61	70246.6	48916.46	71820.54	65583.09	73416.19	29172.33	43021.7	56083.0	30002.0	34303.35999999999	46374.69	98555.92	27267.41	6365.91	48008.77	32342.27	112867.7	32531.700000000004	54508.74	47714.8	58637.36
EC:1.1.1.100	68633.28	59310.83	67513.19	64015.100000000006	51733.32000000001	82493.04000000001	70839.36	81669.33	51397.8	61267.36	67528.18	49628.490000000005	29262.370000000003	36853.89	75930.67	22383.83	9327.67	40121.21	27201.67	84707.47	50626.52	41194.74	41460.21	48152.01
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	2434.2	2577.15	2446.07	2889.75	2105.93	1902.96	1530.01	190.75	3235.0	1061.0	546.0	410.0	315.71	1623.92	218.5	329.83	131.83	699.1400000000001	92.21	146.0	1435.37	157.25	539.41	191.0
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	227.0	153.0	508.0	441.0	184.0	117.0	152.0	75.0	1628.0	807.0	861.0	448.0	645.0	676.25	594.0	284.0	773.75	570.25	608.75	297.0	861.0	743.0	586.0	487.0
EC:1.1.1.11	0.0	0.0	0.0	0.0	0.0	1036.14	989.43	0.0	0.0	0.0	0.0	0.0	17.71	19.33	15.0	0.0	0.0	602.14	14.71	9.0	55.67	11.33	11.33	0.0
EC:1.1.1.122	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	84.0	74.0	23.0	123.0	113.0	66.0	104.0	142.17000000000002	0.0	0.0	7.0
EC:1.1.1.125	2371.0	2454.25	2357.17	2873.25	2079.83	2650.7	2445.94	5.25	0.0	130.0	19.0	16.0	361.42	1644.16	240.5	341.83	138.25	1278.5300000000002	70.67	105.0	1169.4899999999998	151.41	457.99	221.0
