pathway	140A	146A	151A	156A	158A	161A	162A	167A	258A	259A	260A	261A	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B
1CMET2-PWY	24650.14107786445	19495.767320522355	17838.415687945482	19554.79197878396	19480.478010991494	25983.255796982896	20327.48801138189	24577.24804780592	22643.13057138036	23629.55534458801	24657.772994229355	20834.474367442363	4822.455420607329	6974.162160145975	4353.938034518405	2972.9894715641485	1889.0370968560271	5156.611397089996	3114.397673457346	2359.6739792986778	17598.47416241417	5202.673564317656	8498.107248357781	7598.06885158009
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	84.12072473116754	99.47440443551206	78.28729243848377	122.88575204735874	69.63907614125957	1478.031898367943	1407.183429571232	34.11694782302108	0.0	0.0	0.0	0.0	826.2514399871735	883.8295582744748	725.8255090320138	334.5271008185639	797.6909763630404	1330.5531964228392	581.1733559717226	302.22156725703144	237.45327403087765	19.52154957756009	46.551995859199664	0.0
AEROBACTINSYN-PWY	45.0	45.0	39.67	56.0	34.33	9.67	12.330000000000002	0.0	0.0	0.0	0.0	0.0	0.0	23.33	0.0	6.33	0.0	0.0	0.0	0.0	24.272005644734524	0.0	11.70809685962921	0.0
ALL-CHORISMATE-PWY	6585.10248189939	6021.109058074595	4977.329413276019	6271.487427912995	5346.504347113736	5142.915519125832	4332.206901972787	175.44956173338508	0.0	0.0	0.0	0.0	1453.6378848568852	2983.5944013583908	788.0968774814764	1012.3076212915612	173.95796828316776	1825.551084774513	338.7504638531677	129.2890193802147	5252.580647424557	1045.2945826092343	1812.956802583847	867.941328286242
ANAEROFRUCAT-PWY	34569.90458443267	29061.28453601971	30082.577771071858	30648.362020183133	26603.49578708139	36034.817929252335	28673.26355757144	33135.16569633075	29936.084277223345	29472.08844039045	29919.723937914296	24704.811913935508	9231.541213766868	14229.9366010513	9673.886283252175	7186.720527276259	2106.0585077318137	10165.257926243386	5664.382481746359	4037.208944043458	21109.943709729097	10840.02384370732	14841.853416917977	12020.162057712298
ANAGLYCOLYSIS-PWY	38258.745202959086	31504.24533740385	35865.470953120384	33731.23021304366	29350.21667861126	41770.16222788976	34337.02639168107	41201.71048848213	34468.99975310042	34421.5929906606	37207.83324145526	28488.35314278929	13027.896144827222	17257.6016672717	36249.02299281348	12777.1175000051	2531.6255102573896	18424.058621988923	12287.74124042136	40602.86746712092	22805.339981192526	21304.260172209084	21028.84657147866	25466.977494725204
ARG+POLYAMINE-SYN	8134.26437976508	8242.064783823735	5319.885352421977	7914.579980999445	6689.815050050081	7589.085688507232	7259.844928025092	5048.402179177586	198.35797808338287	2575.4689499989463	3805.665006865527	1840.692683842596	1035.3008743777573	3374.7156668896814	698.0313681061908	891.7876486849152	591.1519707250615	1666.2576898483712	478.82871531984784	390.9346768374249	6987.778531759646	1237.964144824276	2526.5682528650923	1864.392157312317
ARGDEG-PWY	3689.918201327844	3769.742813795288	3589.300304599434	4208.261607914782	3466.759698608661	2825.0458486653174	2524.9250874337567	14.302794101173866	0.0	0.0	0.0	0.0	551.9801746785412	2347.5927529893106	357.6260149732771	559.0631486366304	36.6399632139198	990.8856446937737	42.75704578350089	31.24517288115215	1309.1502796510622	251.36543469073143	786.1606218597389	319.0077675858839
ARGORNPROST-PWY	575.1958093097217	771.0947951258543	1315.4142200365986	680.7249670378044	246.6572737195276	549.3232097209942	778.0683902989224	1258.8033576662065	6193.700927110865	3146.8023183783603	3233.281616113461	1986.456914691578	1293.7641009890272	1464.1698921340087	973.7107059470814	639.6616351541614	1104.1992246264188	1175.7525986263245	1036.4345971414025	621.7053421806328	4327.904726487661	1248.745179700894	1890.346212642484	1501.4627724023017
ARGSYN-PWY	16307.032825669045	13594.168947469749	13402.358186441024	14774.556753749908	13317.133677650809	16226.24673775075	14477.276644005096	15336.167731507803	13727.402690793228	15861.465562989322	17059.91602925745	12443.49477407182	4716.653472862156	5980.362590643549	3891.2575420554017	2538.3580250927776	1940.5237530394008	4338.592486326881	3156.8911373187507	1929.4717657549536	15770.697758786418	4469.48188595831	6947.6899526252	5377.470830703495
ARGSYNBSUB-PWY	13819.12399934923	12620.569923614295	12237.204431386936	13912.714164211831	12350.514459639306	13089.923667855495	12611.64549419894	13746.727182568678	6751.151867504818	13043.770813689787	12046.340883128794	8853.941154458442	4509.759388580221	5762.768009469692	3505.8631448447977	2442.684150960933	1970.7297962660248	4030.382895023699	2988.019720552481	1790.5761537229102	15931.573704496312	4134.547128251933	6322.273691077384	4859.532683671845
ARO-PWY	16712.195418065214	13841.35076285582	10164.715333987297	13037.794163239514	13030.722929188743	17383.48839553583	13521.76908827964	14631.363056634656	15632.551529527344	16031.149984989135	15733.883639343125	13370.46021542432	2814.022488546681	3863.588075034191	2065.952087851392	1500.2236008509674	1720.476283967027	2906.5619154750734	1830.517649569235	1126.046671572551	18011.34697132056	3245.1802222274573	5355.526263955991	4004.4847175990135
ASPASN-PWY	27799.9844121458	20811.3963033229	15110.020400389769	18812.829190754685	19316.696753196284	29322.04246127593	20594.214741429776	25311.74158227777	23341.61694242915	27156.07414948972	26297.532335195807	23245.924031636747	2793.8963164922843	4075.650138830315	2314.6552381763263	1638.7839002453788	962.4168499423683	2696.726435693397	1301.9840151664418	772.8182477067367	16461.747712586814	3471.245948243392	7629.329959555518	5239.481550105902
AST-PWY	2322.449254203267	2495.204725785173	2380.5536682579705	2919.0481012321297	2076.897799314297	1620.325214341733	1450.8413209458145	29.38651877133105	0.0	0.0	0.0	0.0	1016.7059307768563	2322.816585823806	827.8523819105588	605.9993104367636	704.6921927625415	1128.799295055159	499.79212619513874	256.8860759493671	957.137503375216	144.82108241792997	468.4867825967534	155.0
BIOTIN-BIOSYNTHESIS-PWY	9723.739094270884	8734.656381217766	7778.324602682866	8396.241587874229	8417.526174272842	10046.347871786831	6099.444760268938	700.9936281209763	6807.3508892132295	290.91570502271463	377.5356107567145	127.51245720122236	3039.3081304945867	4700.501692058047	2294.716538048744	1741.5527001413786	1280.7208253768038	2749.863639821269	1451.703054993062	764.1214101445245	9675.54188210646	1701.5328192080742	2633.629256233326	1795.3766009563064
BRANCHED-CHAIN-AA-SYN-PWY	22605.58403037675	17627.63417201367	13830.11886595205	17018.964436041242	16591.607864224647	23864.73623831854	18072.00543345044	21245.73980027688	23919.960854371784	23660.33850070981	24052.59142898784	20892.44601186388	4409.135188851411	5897.627671306621	3610.653786430965	2426.3751090872456	2172.1585105955605	4472.860039735593	3187.6275680569565	2108.730004092812	20190.580255263463	5375.191811259056	8036.679207033612	6551.9011218908
CALVIN-PWY	30026.303920435752	25652.660116818533	26101.015045432927	27681.459757004675	24214.98855044653	31520.192330914106	25804.27471278548	29293.198780244868	25516.78538870549	27012.925777174	26453.1400460507	22879.87022044201	6164.723394962759	9784.100180102632	5677.135760950041	4228.886362754005	1941.1580883094105	8271.391165786683	3818.0989133704543	2715.849992710553	22373.82236580329	7850.930055462443	11690.635243072034	9021.19423079362
CATECHOL-ORTHO-CLEAVAGE-PWY	0.0	9.0	0.0	8.0	3.0	1036.14	989.43	20.0	0.0	0.0	0.0	0.0	647.1955641733942	636.0771489806294	555.6330096522165	232.7731434384537	618.547173811214	1040.6831289713869	443.6754628764029	240.49554839931807	498.35729763348746	56.46660978209067	61.84882901229733	0.0
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	2354.753541690271	1490.3478868334892	2826.5749841721727	2300.6014411787896	2604.5935692743674	2038.183566993057	2348.120620735641	364.224663487334	166.31195977773476	2310.50600818103	2252.887079195613	1245.5537804255755	77.70271197426226	70.55840520130027	199.15540740002004	56.816136560698325	171.01267732700745	207.58151469824	125.37061184657556	55.95748502877586	5443.411775554356	522.2571537776239	1280.3809384736594	964.8794350686323
CHLOROPHYLL-SYN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.503138714884436	0.0	0.0	0.0	0.0	0.0	18.049150660474027	17.897839119467417	0.0	62.97489754260646
COA-PWY	31784.7492203387	26002.32089583625	31462.470436220472	28987.57272255952	25735.07834971144	35273.26910472141	29740.00389361412	36160.93985819418	27024.29971310717	28601.842707769432	32405.36828070007	24538.20620276677	12329.51861646146	15721.869637078802	34933.10353894203	12517.837419500866	2310.16503356906	17222.254133275754	11746.292228918908	39410.48105899309	19848.434664482145	19786.52191438818	19014.91534106837	24176.81967471709
COBALSYN-PWY	10455.4587859743	9925.195430404134	4864.671691740806	5821.904741574222	5319.90523851706	11586.465488048509	6488.369273114296	4781.488765821679	10829.715890059537	8590.1859034155	5911.489268770709	5595.662153835597	1078.7438495028273	2437.5899002248243	1090.521195638838	598.3769360521216	839.624160425348	1266.0266634775996	594.944815804553	457.7711405116124	9398.536581763768	861.191881661186	2321.0373939295814	1448.1407850945109
CODH-PWY	328.8578130379994	51.54229368805788	49.95636769813428	261.25740252559274	320.7968900297552	25.98989038848126	47.95846255193533	0.0	0.0	389.1674702957103	47.96079611119203	309.8048315174815	0.0	31.96023211396606	22.67214771592078	0.0	37.55263924258478	0.0	0.0	21.99356793194128	220.36997397065	3.9995735748605328	32.96876985938694	0.0
