pathway	111A	115A	119A	120A	124A	129A	134A	135A	137A	111B	115B	119B	120B	124B	129B	134B	135B	137B
1CMET2-PWY	21247.66693157182	22768.404301452327	24272.71686388334	21480.689451787603	22766.02740943024	30398.97283537716	24493.132849950547	22379.233739488714	34722.88469363327	4586.063823806251	24887.02828330927	5288.582764438346	18542.77831365973	10661.795248393506	33368.53638396915	14186.962466238463	30195.544593225928	13329.009486330437
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	10.426826166576234	0.0	0.0	12.067828766042128	13.97122832287703	13.91880372225097	0.0	0.0	111.3561757445466	30.60619542702729	69.73516692819689	61.4506055353108	64.74914521870743	47.80936914652728	69.37557886521552	104.26575256036092	39.51664530243743
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	0.0	243.4310038156627	159.92368046157458	0.0	192.05298600199004	101.24005502620317	131.87863416549925	0.0	73.4163621637306	101.7972596797263	250.8970420200626	268.9466375484633	44.72678973441447	35.5081908104346	0.0	260.7754473342681	0.0	84.82267821410345
ANAEROFRUCAT-PWY	27938.25875804521	30556.88194992911	29782.21058048958	28073.237082564807	30078.98139715228	35831.59443120746	32443.169956082627	27176.104217524706	42059.3695688727	7929.884270900416	38215.81900299185	9532.324898765615	50813.99561703936	19874.12290999258	45242.44551807257	35996.67198962503	40906.60168815762	19825.28613953592
ANAGLYCOLYSIS-PWY	37614.79915116585	43660.852423935576	37767.00266067233	31618.055780199367	38043.15948912005	40078.26024764304	38887.54733443399	35147.735504271164	48066.01780320316	72988.5435093275	98411.13960785672	83858.19276258083	81621.43362727639	49101.63228882853	81300.37611804862	105584.18933879306	84457.79046432122	86735.2859017778
ARG+POLYAMINE-SYN	3291.954069967633	7083.235823633642	6507.496533467916	3990.19300340178	3930.02087597214	9142.655446353914	4658.175776501359	5650.719522575395	6840.613315985943	629.1832418677934	4670.490047703029	633.4597959238113	3091.998328058753	2363.6134936114413	4289.442189981631	3010.597792442345	5562.789571024096	1103.366225604885
ARGDEG-PWY	0.0	97.38963659022068	36.6020282382995	0.0	38.53450938233369	13.342206583402584	11.399669109559236	0.0	10.49055112035231	8.044436393444814	32.4911469133682	77.63179306891594	2.792435700847681	2.637715266198678	0.0	27.7522084416701	0.0	6.89948642890784
ARGORNPROST-PWY	1182.190061087079	802.2148309986401	1225.066347167401	1703.443026290018	1824.6853427089573	2376.708777307841	2711.578796848785	2297.080500755176	1885.48314562832	882.3094569870918	3009.053459412537	474.5659112533108	5807.409964208384	1553.5302877346546	6078.787460466501	3243.5435431975006	6771.769705325707	998.9786032822376
ARGSYN-PWY	14197.55155241413	15369.344207367483	15577.226504489869	14084.914802101315	15443.73866703152	28575.30752078948	20392.016631498544	15474.256192368071	29365.88770945396	4796.564116276395	12842.888564991415	5430.542939676813	14626.156574007644	8566.97753588438	24071.883878043194	9873.35791161376	21811.754601181587	11556.653812103305
ARGSYNBSUB-PWY	11669.468031146424	14219.807069772214	13374.696512846447	11366.259499282927	12679.280842401	28540.583588634603	19451.82118562305	13956.167051015456	28190.85510561712	2943.2726256985457	9128.68404114971	1516.3122876934465	4328.712283145039	3883.376224373568	19890.39342656056	8007.794883927189	17508.75155860661	6870.567598848316
ARO-PWY	14102.368462984845	15924.141370384625	16701.327639660838	17199.266521849426	15165.34715972775	29934.85166131691	20187.448946776447	17379.35603904099	30785.055813676376	24591.871770060305	23467.87996182564	14805.25836669778	22359.18005347357	17176.748988447074	21645.9490176207	8082.327166590124	24193.44920502879	24429.669646468537
ASPASN-PWY	24089.74632581448	24750.339434715523	25831.723866199223	25163.50551514045	25314.07283271917	31762.20246556949	28298.816278785085	25034.62931548928	35421.744361183475	27973.964029931136	39809.943699199575	19361.18376354625	33727.48640418289	21072.09883429652	28162.38022568755	22966.475384876543	33686.59825206217	29905.05358913109
AST-PWY	0.0	49.755700325732896	15.75	0.0	24.643085787451987	14.937888198757763	14.119634340222577	0.0	4.5	91.93962209859966	32.39482014388489	54.786513720697705	49.358974358974365	49.91684731555748	32.94117647058824	65.17084460073971	75.29411764705883	33.39108910891089
BIOTIN-BIOSYNTHESIS-PWY	737.0629694697727	552.2223974831797	2213.625066070374	1823.201039091936	2013.4704191271164	550.3199016955	431.0232508929495	1230.7568239491948	1624.1528254595346	1052.1975610552993	923.7634761398378	639.5842459472991	815.9817229888487	1223.8109203282193	1134.9790318804628	937.1993636119364	3455.264763921753	544.220660571306
BRANCHED-CHAIN-AA-SYN-PWY	18324.77224514135	18546.548582404364	21121.338134354803	17554.546744122115	18284.268640170976	32381.249202693925	22988.336732479434	18366.2437566683	34361.61340694146	3162.709528864445	15747.453439192876	3108.212758238913	9355.914399154131	6086.82429093362	19931.83211694229	8342.100508233641	18471.98290745628	8721.538533904848
CALVIN-PWY	23997.321766820354	26741.9736128062	26826.106043835287	26400.145631864056	26046.091554319817	38352.24510106196	29603.362638674946	24438.639860533	42061.01716051976	7229.4245853459615	32421.778384571724	8463.113923113213	42352.35392074296	17619.304351986946	39151.70309404843	24539.952860373105	35451.78269072957	17676.689710943123
