feature,t-statistic,p-value
RECNO,66.0,0.8376197722836831
PFS_3,28.0,0.0012071955613174611
PFS_6,0.0,1.9208732823274595e-06
TIME,47.0,0.18739482320909373
SRVID,74.0,0.8376197722836831
Age,,
Height,,
Weight,,
BMI,,
EER,,
Visit,70.0,1.0
UserId,74.0,0.8376197722836831
DOB,,
MultivitaminFreq,,
MultivitaminDose,,
MultivitaminAvg,,
CalciumDose,,
CalciumAvg,,
FRT5DAY,71.5,0.9531545151536851
FRTSUMM,72.0,0.9299502105546988
VEG5DAY,72.0,0.9299197597292042
VEGSUMM,77.5,0.6817646082191025
AlcoholServings,39.5,0.0604898022517425
CalciumFromDairyServings,72.0,0.9300109933136972
CalciumServings,68.0,0.9300109933136972
LowFatDairyServing,70.0,1.0
FriedFishServings,72.0,0.92501566062197
NonFriedFishServings,60.0,0.5767857531933483
FishServings,63.5,0.7250583673875286
FriedFoodServings,65.0,0.7915498122754089
FruitServings,70.5,1.0
JuiceServings,90.5,0.19091180998098767
SaladVegetableServings,58.0,0.5007112613753855
SweetServings,68.0,0.9298434585890536
VegetableServings,74.5,0.8097124579826387
WholeGrainServings,74.0,0.8376197722836831
HEIScore,87.0,0.3339735948493513
HEI_Fruit,72.5,0.9032336118974063
HEI_NonJuiceFrt,70.0,1.0
HEI_Veg,69.0,0.9759986243847788
HEI_DrkG_OrgVeg_Leg,69.0,0.9763382977716423
HEI_Grains,98.0,0.10535814199848684
HEI_Whl_Grains,68.5,0.9532463939399117
HEI_Milk,73.5,0.8601980482086963
HEI_Meat_Beans,80.5,0.46587595945639726
HEI_Oils,91.0,0.19052771593553863
HEI_SatFat,73.0,0.8830863181105318
HEI_Sodium,76.5,0.7152472154642955
HEI_SolFat_Alc_AddSug,86.0,0.36346985679955024
HEI2010Score,67.0,0.8836174593813683
HEI2010_Fruit,72.5,0.9032336118974063
HEI2010_Whole_Fruit,70.0,1.0
HEI2010_Veg,69.0,0.9759986243847788
HEI2010_Greens_Beans,70.0,1.0
HEI2010_Whole_Grains,68.5,0.9532870557917937
HEI2010_Dairy,73.5,0.8601980482086963
HEI2010_Protein_Foods,81.0,0.44402876673053815
HEI2010_SeaFoods_PlantProteins,72.5,0.9032561650591324
HEI2010_Fatty_Acids,82.5,0.4816073206103735
HEI2010_Refined_Grains,46.5,0.1565251573944554
HEI2010_Sodium,77.0,0.6926808467681671
HEI2010_Empty_Calories,67.0,0.8827024481572509
HEI2015Score,62.0,0.6605492052016728
HEI2015_Fruit,72.5,0.9032336118974063
HEI2015_Whole_Fruit,70.0,1.0
HEI2015_Veg,73.0,0.8791809972324963
HEI2015_Greens_Beans,66.0,0.8330478129891142
HEI2015_Whole_Grains,68.5,0.9532870557917937
HEI2015_Dairy,73.5,0.8601980482086963
HEI2015_Protein_Foods,81.0,0.44402876673053815
HEI2015_SeaFoods_PlantProteins,71.0,0.9754280769178597
HEI2015_Fatty_Acids,82.5,0.4816073206103735
HEI2015_Refined_Grains,46.5,0.1565251573944554
HEI2015_Sodium,77.0,0.6926808467681671
HEI2015_Saturated_Fat,73.0,0.8835168476677626
HEI2015_Added_Sugars,64.0,0.7405720715258262
A_BEV,39.5,0.0604898022517425
A_CAL,35.5,0.0262289912851873
acesupot,81.5,0.4224800393665925
ADD_SUG,86.0,0.3640964293652711
addsugar,83.0,0.4642143127710314
adsugtot,84.0,0.4292480471436786
alanine,76.0,0.7474170705441505
alcohol,42.5,0.11310130474496169
alphacar,80.0,0.5780310485673851
alphtoce,65.0,0.7921706029981195
alphtoco,65.0,0.7921706029981195
arginine,77.0,0.7034993180411209
ash,66.0,0.8376197722836831
aspartam,65.0,0.783936591973955
aspartic,78.0,0.6605492052016728
avcarb,85.0,0.3958628946276468
betacar,68.0,0.9300109933136972
betacryp,62.0,0.6605492052016728
betaine,78.0,0.6605492052016728
betatoco,83.0,0.4642143127710314
biochana,65.0,0.7921706029981195
caffeine,53.0,0.3339735948493513
calcium,68.0,0.9300109933136972
calories,72.0,0.9300109933136972
carbo,84.0,0.4292480471436786
cholest,82.0,0.5007112613753855
choline,79.0,0.6186891374327621
clac9t11,74.0,0.8376197722836831
clat10c12,77.0,0.7034993180411209
copper,72.0,0.9300109933136972
coumest,45.0,0.15140878254142853
cystine,78.0,0.6605492052016728
D_CHEESE,44.0,0.1354039169445556
D_MILK,85.0,0.3958628946276468
D_TOT_SOYM,72.0,0.9300109933136972
D_TOTAL,72.0,0.9300109933136972
D_YOGURT,85.5,0.3476950021202765
daidzein,88.0,0.30550708686125383
delttoco,96.0,0.1354039169445556
DISCFAT_OIL,74.0,0.8376197722836831
DISCFAT_SOL,67.0,0.8836174593813683
erythr,64.5,0.7691609052871868
F_CITMLB,74.0,0.8376197722836831
F_NJ_CITMLB,81.0,0.5386755507626598
F_NJ_OTHER,73.0,0.8836174593813683
F_NJ_TOTAL,76.0,0.7474170705441505
F_OTHER,76.0,0.7474170705441505
F_TOTAL,72.0,0.9300109933136972
fat,70.0,1.0
fiber,74.0,0.8376197722836831
fibh2o,76.0,0.7474170705441505
fibinso,78.0,0.6605492052016728
fol_deqv,70.0,1.0
fol_nat,73.0,0.8836174593813683
fol_syn,73.0,0.8836174593813683
formontn,72.0,0.929980621720859
fructose,85.0,0.3958628946276468
FULLFATDAIRY,71.0,0.9766436686336611
G_NWHL,89.0,0.27869787974070936
G_TOTAL,87.0,0.3339735948493513
G_WHL,74.0,0.8376197722836831
galactos,69.0,0.9766436686336611
gammtoco,81.0,0.5386755507626598
genistn,94.0,0.16881571913149374
GLAC,88.0,0.30550708686125383
GLTC,88.0,0.30550708686125383
glucose,84.0,0.4292480471436786
glutamic,75.0,0.7921706029981195
glycine,75.0,0.7921706029981195
glycitn,95.0,0.15140878254142853
grams,46.0,0.16881571913149374
histidin,74.0,0.8376197722836831
inositol,73.0,0.8836174593813683
iron,78.0,0.6605492052016728
