feature,t-statistic,p-value
RECNO,-0.4320796039484259,0.6700877129136891
PFS_3,-3.9972816850411252,0.0006539483931856828
PFS_6,-inf,0.0
TIME,-0.8905689419776839,0.3832502793931718
SRVID,0.392971160818357,0.6983015381513725
Age,,
Height,,
Weight,,
BMI,,
EER,,
Visit,,
UserId,0.392971160818357,0.6983015381513725
DOB,,
MultivitaminFreq,,
MultivitaminDose,,
MultivitaminAvg,,
CalciumDose,,
CalciumAvg,,
FRT5DAY,0.3922736261519574,0.6988089936519524
FRTSUMM,0.2707692100263999,0.7892120640232734
VEG5DAY,0.579817933226908,0.5682066920246375
VEGSUMM,0.6420703046128508,0.5277750648014696
AlcoholServings,-1.211410294311997,0.2391942942985168
CalciumFromDairyServings,0.6386656789418586,0.5299450367188124
CalciumServings,0.5156345300739148,0.6114958674225305
LowFatDairyServing,-0.6959380016583773,0.49409853479395627
FriedFishServings,0.43379299975989116,0.6688625896594658
NonFriedFishServings,-0.40923721798476026,0.686509461199269
FishServings,-0.22646265192356146,0.8230313966163616
FriedFoodServings,0.2320508944655518,0.8187448749558661
FruitServings,0.6866368120509055,0.4998240778599181
JuiceServings,-0.1766837517169671,0.861449695984497
SaladVegetableServings,-0.3352483390384962,0.7407636416253136
SweetServings,-1.1592792737657334,0.2593547918966989
VegetableServings,0.6291836288611075,0.5360140570845835
WholeGrainServings,1.4757204224477827,0.15485646617472126
HEIScore,1.0260299051787154,0.3165517696639234
HEI_Fruit,0.26757210098351353,0.7916390951989182
HEI_NonJuiceFrt,0.5889863151823644,0.5621533435180897
HEI_Veg,0.4848847703347164,0.6327775731741677
HEI_DrkG_OrgVeg_Leg,0.03543625382022476,0.9720665594589324
HEI_Grains,1.9539403407322422,0.0641563967266499
HEI_Whl_Grains,0.45980059125590766,0.6503842101797417
HEI_Milk,-0.38435450172921237,0.7045802217042023
HEI_Meat_Beans,0.5036134232861845,0.6197751831179017
HEI_Oils,1.0010862832945013,0.3281815362865482
HEI_SatFat,0.1973910879218883,0.8454195785068122
HEI_Sodium,-0.04283355570996572,0.9662388787212304
HEI_SolFat_Alc_AddSug,1.0364614019152532,0.31177516220182566
HEI2010Score,0.009844301069805252,0.9922384336124035
HEI2010_Fruit,0.26757210098351353,0.7916390951989182
HEI2010_Whole_Fruit,0.5889863151823644,0.5621533435180897
HEI2010_Veg,0.4848847703347164,0.6327775731741677
HEI2010_Greens_Beans,-0.1287730408533258,0.89876257179921
HEI2010_Whole_Grains,0.4369984553457783,0.6665731445367568
HEI2010_Dairy,-0.38435450172921237,0.7045802217042023
HEI2010_Protein_Foods,0.5089219697962328,0.6161125502922904
HEI2010_SeaFoods_PlantProteins,-0.10965765289625011,0.9137220386787497
HEI2010_Fatty_Acids,0.6603485434122841,0.5162088148212738
HEI2010_Refined_Grains,-2.5021381795897,0.02068248719623769
HEI2010_Sodium,0.0734370185442904,0.942153363299669
HEI2010_Empty_Calories,0.17820545752873468,0.8602695246779907
HEI2015Score,0.057651951850582236,0.9545709258047382
HEI2015_Fruit,0.26757210098351353,0.7916390951989182
HEI2015_Whole_Fruit,0.5889863151823644,0.5621533435180897
HEI2015_Veg,0.5369750422874454,0.5969288893820275
HEI2015_Greens_Beans,-0.2501536468190947,0.8048994908269118
HEI2015_Whole_Grains,0.4369984553457783,0.6665731445367568
HEI2015_Dairy,-0.38435450172921237,0.7045802217042023
HEI2015_Protein_Foods,0.5089219697962328,0.6161125502922904
HEI2015_SeaFoods_PlantProteins,-0.28445248935748574,0.7788496979153486
HEI2015_Fatty_Acids,0.6603485434122841,0.5162088148212738
HEI2015_Refined_Grains,-2.5021381795897,0.02068248719623769
HEI2015_Sodium,0.0734370185442904,0.942153363299669
HEI2015_Saturated_Fat,0.12776285401134663,0.8995522173891167
HEI2015_Added_Sugars,0.5007545334671049,0.6217518845652859
A_BEV,-1.211415818864994,0.23919222237185744
A_CAL,-1.0550359585748479,0.3033965045516316
acesupot,0.8615656787138565,0.39865790885292907
ADD_SUG,-0.4305084552158568,0.6712119539060426
addsugar,-0.5705069976194616,0.5743882101876119
adsugtot,-0.579028280349072,0.5687296146896066
alanine,0.9956068412059694,0.3307756470683181
alcohol,-1.2347299141226682,0.230568996920121
alphacar,1.088044836852978,0.288905547173369
alphtoce,1.4499375344978231,0.1618477962862831
alphtoco,1.3237399775744683,0.19981966399385565
arginine,0.9811781397494606,0.3376744945119988
ash,0.584035000283981,0.5654182563247063
aspartam,-1.2004758088047753,0.2433218141331732
aspartic,1.1013527183200083,0.28320701525851555
avcarb,0.4179570835958808,0.6802213024255148
betacar,0.5480410395092317,0.5894424950900417
betacryp,0.023956769696599597,0.9811132784563921
betaine,1.3360308921101847,0.19583793266811833
betatoco,1.5076423946296098,0.14654341969814907
biochana,0.3169028634112284,0.754446239842569
caffeine,-1.5919607564770135,0.12633539388977774
calcium,0.5156698311489777,0.611471631965937
calories,0.6885243798217568,0.4986590978926646
carbo,0.47249682819048155,0.6414456670358111
cholest,0.30113283312396694,0.7662746444440107
choline,0.7624873109971579,0.4542491685488098
clac9t11,0.8567114598574951,0.40127525856887414
clat10c12,0.8593718452173997,0.3998394353527238
copper,0.9731124377471498,0.34157390680400557
coumest,-0.9535020809682305,0.3511831450188496
cystine,1.2275718192582712,0.23319101216637686
D_CHEESE,-1.3261179816412096,0.19904438178730485
D_MILK,1.2824575359350436,0.21365837855282313
D_TOT_SOYM,0.638662572854787,0.5299470186326928
D_TOTAL,0.638662572854787,0.5299470186326928
D_YOGURT,0.16940679040023823,0.86709794386829
daidzein,2.3460769683522114,0.028866101721151356
delttoco,2.057512459514152,0.052266089860981885
DISCFAT_OIL,0.9433849832629854,0.3562118245469732
DISCFAT_SOL,0.7684916062860991,0.45075166857294513
erythr,-0.303490081396105,0.7645027755473266
F_CITMLB,-0.3113921318169191,0.7585727482364961
F_NJ_CITMLB,1.0299388625262371,0.31475584582826033
F_NJ_OTHER,0.355360629051729,0.7258638924168084
F_NJ_TOTAL,0.637126248826127,0.5309278022995911
F_OTHER,0.8509749575918105,0.4043825600367573
F_TOTAL,0.28278561792481854,0.7801098118172554
fat,0.932585780644506,0.36163302229856287
fiber,0.9716376304720696,0.342290241844839
fibh2o,0.5025311539868406,0.6205231431095619
fibinso,1.1259620842859197,0.27288521257467163
fol_deqv,0.6310850263489227,0.5347940573421237
fol_nat,0.702761679228885,0.4899221176577303
fol_syn,0.4174798870545725,0.6805648122018996
formontn,1.2517946034958891,0.2244089417457535
fructose,-0.12496599073218771,0.9017390311359468
FULLFATDAIRY,0.6503808843830686,0.5224987073975398
G_NWHL,1.333606293260789,0.19661842406605695
G_TOTAL,1.5294576937231146,0.14107562192083248
G_WHL,1.4757187060504935,0.15485692328211723
galactos,-0.14451788842505894,0.8864695133656622
gammtoco,1.4891544836071138,0.1513122724639407
genistn,2.2595694137724447,0.03460218618139798
GLAC,0.29975796161130586,0.7673086984123223
GLTC,0.36477239694735464,0.7189290115438424
glucose,-0.2460308990079071,0.808047072283814
glutamic,1.1172844169187834,0.2764929234880441
glycine,0.9578011535579043,0.3490609769924441
glycitn,2.3194975168274725,0.030527804764931932
grams,-1.0531624183322217,0.30423428044568934
histidin,1.0640088171755149,0.29940699010880406
inositol,-0.5908286373482355,0.5609410088202992
iron,1.1433658230715344,0.26575402447534363
isoleuc,1.0325341549965015,0.3135674447752135
isomalt,,
joules,0.6885253673111662,0.49865848883376207
lactitol,,
lactose,1.158088734967787,0.25982954500306876
LEGUMES,0.05228951882669039,0.9587922218136868
leucine,1.0350286756892488,0.3124281763018891
LineGi,0.5701776454053732,0.574607490772364
lutzeax,-0.27539942781821813,0.7857010057197393
lycopene,0.7158018501178944,0.48199786221820384
lysine,0.9627800024172369,0.34661418703435
M_EGG,0.4457605045306736,0.6603320247184317
M_FISH_HI,0.19179422653730088,0.849745807115636
M_FISH_LO,-0.39686465044895813,0.6954716926611187
M_FRANK,0.6435251260097941,0.5268493037450495
M_MEAT,0.5378832864024344,0.5963126961777232
M_MPF,0.49567809927658546,0.6252690638636893
M_NUTSD,1.0653313178541508,0.29882216754295027
M_ORGAN,0.4877759238308039,0.630762276991468
M_POULT,0.319695048704045,0.7523582728309027
M_SOY,1.859486739101552,0.07702651898322396
magnes,1.1558899415387265,0.2607080573656324
maltitol,,
maltose,0.6978415666890374,0.49293141050342515
mangan,1.277835547938757,0.2152529022558326
mannitol,0.28753897122126115,0.7765180416447814
methhis3,0.5105417119367737,0.6149970413918859
methion,0.8836310229030174,0.3868999459051946
mfa141,0.15442190631445482,0.8787515664309133
mfa161,0.35832819529653237,0.7236746603958955
