feature,u-statistic,p-value
RECNO,51.0,0.8711700199114387
PFS_3,0.0,2.0198740441245073e-06
PFS_6,12.0,0.0012071955613174588
TIME,55.5,0.9468124239231627
SRVID,57.0,0.8711700199114387
Age,,
Height,,
Weight,,
BMI,,
EER,,
Visit,54.0,1.0
UserId,57.0,0.8711700199114387
DOB,,
MultivitaminFreq,,
MultivitaminDose,,
MultivitaminAvg,,
CalciumDose,,
CalciumAvg,,
FRT5DAY,47.0,0.6637414866492392
FRTSUMM,46.5,0.6404476551184147
VEG5DAY,39.5,0.3500186526214668
VEGSUMM,55.0,0.9733972077039397
AlcoholServings,41.0,0.3731765420584423
CalciumFromDairyServings,68.0,0.3781241641653541
CalciumServings,61.0,0.6729174715444739
LowFatDairyServing,45.0,0.5679805939099195
FriedFishServings,59.0,0.7478518607913445
NonFriedFishServings,68.5,0.34907150886648797
FishServings,65.5,0.4628684526653204
FriedFoodServings,71.5,0.25562255745688844
FruitServings,40.0,0.3616752585887122
JuiceServings,72.0,0.1925892723550282
SaladVegetableServings,32.0,0.15563612588784212
SweetServings,73.0,0.2163495866978239
VegetableServings,42.0,0.43057482189566754
WholeGrainServings,54.0,1.0
HEIScore,44.0,0.5365835537460252
HEI_Fruit,44.0,0.5108562600470825
HEI_NonJuiceFrt,40.0,0.34394457391124644
HEI_Veg,43.0,0.471932670187007
HEI_DrkG_OrgVeg_Leg,35.5,0.2241015506186821
HEI_Grains,44.5,0.546229100913245
HEI_Whl_Grains,47.5,0.6887715216708588
HEI_Milk,61.5,0.6398640828624278
HEI_Meat_Beans,62.0,0.5334963075433611
HEI_Oils,67.5,0.34459670164474576
HEI_SatFat,36.0,0.2411852103280202
HEI_Sodium,66.5,0.4061277063797152
HEI_SolFat_Alc_AddSug,49.0,0.7638781105463853
HEI2010Score,44.0,0.5365835537460252
HEI2010_Fruit,44.0,0.5108562600470825
HEI2010_Whole_Fruit,40.0,0.34394457391124644
HEI2010_Veg,43.0,0.471932670187007
HEI2010_Greens_Beans,42.5,0.45099017503420613
HEI2010_Whole_Grains,47.5,0.689028343679188
HEI2010_Dairy,61.5,0.6398640828624278
HEI2010_Protein_Foods,62.0,0.5336342338440214
HEI2010_SeaFoods_PlantProteins,51.5,0.8899324502306758
HEI2010_Fatty_Acids,45.5,0.5932399832840529
HEI2010_Refined_Grains,55.5,0.9440842701893501
HEI2010_Sodium,66.5,0.4061277063797152
HEI2010_Empty_Calories,41.5,0.4200495194869992
HEI2015Score,39.0,0.3432345686350263
HEI2015_Fruit,44.0,0.5108562600470825
HEI2015_Whole_Fruit,40.0,0.34394457391124644
HEI2015_Veg,42.5,0.44635846974818616
HEI2015_Greens_Beans,39.0,0.32008413212748454
HEI2015_Whole_Grains,47.5,0.689028343679188
HEI2015_Dairy,61.5,0.6398640828624278
HEI2015_Protein_Foods,62.0,0.5336342338440214
HEI2015_SeaFoods_PlantProteins,52.5,0.9440842701893501
HEI2015_Fatty_Acids,45.5,0.5932399832840529
HEI2015_Refined_Grains,55.5,0.9440842701893501
HEI2015_Sodium,66.5,0.4061277063797152
HEI2015_Saturated_Fat,36.0,0.24293486453129143
HEI2015_Added_Sugars,53.0,0.9726619031352023
A_BEV,41.0,0.3731765420584423
A_CAL,39.5,0.2973729789447024
acesupot,43.0,0.38334540503186554
ADD_SUG,69.0,0.3432345686350263
addsugar,71.0,0.27959226128562514
adsugtot,71.0,0.27959226128562514
alanine,67.0,0.4148860293025053
alcohol,46.0,0.6163074226874359
alphacar,55.0,0.9741002704389433
alphtoce,49.0,0.7702606318166959
alphtoco,49.0,0.7702606318166959
arginine,65.0,0.49420487978840383
ash,58.0,0.8204107105708937
aspartam,51.0,0.862309934394444
aspartic,69.0,0.3432345686350263
avcarb,75.0,0.17651341793218223
betacar,42.0,0.45368361615501207
betacryp,48.0,0.721120984278879
betaine,59.0,0.7702606318166959
betatoco,64.0,0.5365835537460252
biochana,62.0,0.6260810128087017
caffeine,42.0,0.45368361615501207
calcium,61.0,0.6729174715444739
calories,69.0,0.3432345686350263
carbo,72.0,0.2508692680317394
cholest,69.0,0.3432345686350263
choline,67.0,0.4148860293025053
clac9t11,72.0,0.2508692680317394
clat10c12,72.0,0.2508692680317394
copper,56.0,0.9225385598383311
coumest,45.0,0.5805224523759993
cystine,64.0,0.5365835537460252
D_CHEESE,49.0,0.7702606318166959
D_MILK,72.0,0.2508692680317394
D_TOT_SOYM,68.0,0.3781241641653541
D_TOTAL,68.0,0.3781241641653541
D_YOGURT,61.0,0.6431419087556643
daidzein,80.0,0.08952717762786412
delttoco,84.0,0.04719308151802431
DISCFAT_OIL,61.0,0.6729174715444739
DISCFAT_SOL,66.0,0.45368361615501207
erythr,35.5,0.22902279980065654
F_CITMLB,51.0,0.8711700199114387
F_NJ_CITMLB,51.0,0.8711700199114387
F_NJ_OTHER,47.0,0.6729174715444739
F_NJ_TOTAL,47.0,0.6729174715444739
F_OTHER,52.0,0.9225385598383311
F_TOTAL,47.0,0.6729174715444739
fat,64.0,0.5365835537460252
fiber,54.0,1.0
fibh2o,57.0,0.8711700199114387
fibinso,54.0,1.0
fol_deqv,56.0,0.9225385598383311
fol_nat,58.0,0.8204107105708937
fol_syn,52.0,0.9225385598383311
formontn,58.5,0.7896364870874117
fructose,74.0,0.19935213527890872
FULLFATDAIRY,73.0,0.2240631222324586
G_NWHL,66.0,0.45368361615501207
G_TOTAL,65.0,0.49420487978840383
G_WHL,54.0,1.0
galactos,56.0,0.9225385598383311
gammtoco,74.0,0.19935213527890872
genistn,86.0,0.033002466640910576
GLAC,80.0,0.08952717762786412
GLTC,78.0,0.11924574281553685
glucose,75.0,0.17651341793218223
glutamic,65.0,0.49420487978840383
glycine,65.0,0.49420487978840383
glycitn,90.0,0.014799845463461024
grams,36.0,0.2508692680317394
histidin,66.0,0.45368361615501207
inositol,56.0,0.9225385598383311
iron,60.0,0.721120984278879
isoleuc,68.0,0.3781241641653541
isomalt,54.0,1.0
joules,69.0,0.3432345686350263
lactitol,54.0,1.0
lactose,74.0,0.19935213527890872
LEGUMES,64.0,0.5256145365973305
leucine,67.0,0.4148860293025053
LineGi,69.0,0.3432345686350263
lutzeax,37.0,0.27959226128562514
lycopene,41.0,0.4148860293025053
lysine,67.0,0.4148860293025053
M_EGG,58.0,0.8204107105708937
M_FISH_HI,71.0,0.2661777078512243
M_FISH_LO,58.0,0.8153448324766226
M_FRANK,50.5,0.8414465664650372
M_MEAT,84.0,0.04719308151802431
M_MPF,67.0,0.4148860293025053
M_NUTSD,47.0,0.6622818022695611
M_ORGAN,45.0,0.3239172198439002
M_POULT,56.0,0.9225385598383311
M_SOY,80.0,0.08906141015352063
magnes,57.0,0.8711700199114387
maltitol,54.0,1.0
maltose,60.0,0.721120984278879
mangan,61.0,0.6729174715444739
mannitol,48.0,0.721120984278879
methhis3,67.0,0.4148860293025053
methion,67.0,0.4148860293025053
mfa141,77.0,0.13652708847216855
mfa161,68.0,0.3781241641653541
mfa181,67.0,0.4148860293025053
mfa201,66.0,0.45368361615501207
mfa221,54.0,1.0
mfatot,67.0,0.4148860293025053
natoco,54.0,1.0
nccglbr,78.0,0.11924574281553685
nccglgr,78.0,0.11924574281553685
niacin,60.0,0.721120984278879
niacineq,64.0,0.5365835537460252
nitrogen,67.0,0.4148860293025053
omega3,72.0,0.2508692680317394
oxalic,49.0,0.7702606318166959
oxalicm,48.0,0.721120984278879
pantothe,60.0,0.721120984278879
pectins,51.0,0.8711700199114387
pfa182,63.0,0.5805224523759993
pfa183,74.0,0.19935213527890872
pfa183n3,74.0,0.19935213527890872
pfa184,70.5,0.28591280359220583
pfa204,71.0,0.27959226128562514
pfa205,65.0,0.49420487978840383
pfa225,69.0,0.3432345686350263
pfa226,67.0,0.4148860293025053
pfatot,64.0,0.5365835537460252
phenylal,66.0,0.45368361615501207
phosphor,67.0,0.4148860293025053
phytic,63.0,0.5805224523759993
pinitol,68.0,0.36791191087291764
potass,58.0,0.8204107105708937
proline,64.0,0.5365835537460252
protanim,65.0,0.49420487978840383
protein,67.0,0.4148860293025053
protveg,70.0,0.31044013195042947
retinol,62.0,0.6260810128087017
rgrain,69.0,0.3432345686350263
ribofla,64.0,0.5365835537460252
sacchar,54.0,1.0
satoco,52.5,0.9464267747844228
selenium,59.0,0.7702606318166959
serine,67.0,0.4148860293025053
sfa100,68.0,0.3781241641653541
sfa120,69.0,0.3432345686350263
sfa140,66.0,0.45368361615501207
sfa160,68.0,0.3781241641653541
sfa170,71.0,0.27959226128562514
sfa180,69.0,0.3432345686350263
sfa200,59.0,0.7702606318166959
sfa220,52.0,0.9225385598383311
sfa40,66.0,0.45368361615501207
sfa60,70.0,0.31044013195042947
sfa80,68.0,0.3781241641653541
sfatot,67.0,0.4148860293025053
sodium,58.0,0.8204107105708937
solidfat,70.0,0.31044013195042947
sorbitol,46.0,0.6260810128087017
starch,70.0,0.31044013195042947
sucpoly,56.0,0.9009244806165095
sucrlose,54.0,1.0
sucrose,62.0,0.6260810128087017
tagatose,63.0,0.5805224523759993
tfa161t,69.0,0.3432345686350263
tfa181t,73.0,0.2240631222324586
tfa182t,66.0,0.45368361615501207
tgrain,67.0,0.4148860293025053
thiamin,65.0,0.49420487978840383
threonin,67.0,0.4148860293025053
totaltfa,70.0,0.31044013195042947
totcla,71.0,0.27959226128562514
totfolat,56.0,0.9225385598383311
totsugar,73.0,0.2240631222324586
tryptoph,63.0,0.5805224523759993
tyrosine,65.0,0.49420487978840383
V_DRKGR,34.0,0.19935213527890872
V_ORANGE,55.0,0.9741002704389433
V_OTHER,47.0,0.6729174715444739
V_POTATO,73.0,0.2240631222324586
V_STARCY,49.0,0.7641273936448145
V_TOMATO,54.0,1.0
V_TOTAL,55.0,0.9741002704389433
valine,67.0,0.4148860293025053
vita_iu,45.0,0.5805224523759993
vita_rae,51.0,0.8711700199114387
vita_re,48.0,0.721120984278879
vitb12,64.0,0.5365835537460252
vitb6,60.0,0.721120984278879
vitc,45.0,0.5805224523759993
vitd,63.0,0.5805224523759993
vitd_iu,63.0,0.5805224523759993
vitd2,67.0,0.4043501054155626
vitd3,63.0,0.5805224523759993
vite_iu,49.0,0.7702606318166959
vitk,47.0,0.6729174715444739
water,32.0,0.15563612588784212
wgrain,55.0,0.9741002704389433
xylitol,38.0,0.31044013195042947
zinc,61.0,0.6729174715444739
