feature,u-statistic,p-value
water,11,0.048480931
grams,13,0.08177117
delttoco,46,0.103749192
glycitn,46,0.103749192
genistn,45,0.129605688
M_SOY,44,0.159987072
SaladVegetableServings,17,0.194570136
caffeine,17,0.194570136
coumest,17,0.194570136
JuiceServings,41,0.195299425
GLAC,42,0.234324499
A_CAL,19,0.242573829
D_MILK,41,0.278603749
daidzein,41,0.278603749
gammtoco,41,0.278603749
GLTC,41,0.278603749
lycopene,19,0.278603749
M_MEAT,41,0.278603749
nccglbr,41,0.278603749
nccglgr,41,0.278603749
protveg,41,0.278603749
AlcoholServings,20,0.299444444
A_BEV,20,0.299444444
glucose,40,0.328377505
V_DRKGR,20,0.328377505
D_CHEESE,21,0.382676147
lactose,39,0.382676147
starch,39,0.382676147
totsugar,39,0.382676147
xylitol,21,0.382676147
M_ORGAN,25,0.396143909
HEI_Oils,38,0.403566228
alcohol,22,0.428060893
avcarb,38,0.442146089
betatoco,38,0.442146089
fructose,38,0.442146089
lutzeax,22,0.442146089
pfa183n3,38,0.442146089
phytic,38,0.442146089
tgrain,38,0.442146089
HEI_DrkG_OrgVeg_Leg,22.5,0.457548889
HEI_Sodium,37,0.477732485
HEI2010_Sodium,37,0.477732485
HEI2015_Sodium,37,0.477732485
pinitol,37,0.492977761
ADD_SUG,37,0.505817712
alphtoce,23,0.505817712
alphtoco,23,0.505817712
aspartic,37,0.505817712
betacar,23,0.505817712
G_TOTAL,37,0.505817712
oxalic,23,0.505817712
oxalicm,23,0.505817712
pfa183,37,0.505817712
vite_iu,23,0.505817712
HEI_Milk,36.5,0.526582134
HEI2010_Dairy,36.5,0.526582134
HEI2015_Dairy,36.5,0.526582134
satoco,36,0.557211079
VEG5DAY,24,0.561121094
aspartam,24.5,0.565413128
addsugar,36,0.574337427
adsugtot,36,0.574337427
betaine,36,0.574337427
carbo,36,0.574337427
FULLFATDAIRY,36,0.574337427
galactos,24,0.574337427
LineGi,36,0.574337427
mannitol,24,0.574337427
mfa141,36,0.574337427
niacineq,36,0.574337427
nitrogen,36,0.574337427
omega3,36,0.574337427
pfatot,36,0.574337427
rgrain,36,0.574337427
sucpoly,25,0.578876981
M_FISH_HI,35.5,0.592435316
vitd2,35.5,0.597937006
LowFatDairyServing,25,0.627780042
HEI_SatFat,25,0.631039864
erythr,25,0.63421572
HEI2015_Saturated_Fat,25,0.634424546
formontn,35,0.635048889
CalciumFromDairyServings,35,0.646089205
WholeGrainServings,35,0.646089205
alanine,35,0.646089205
arginine,35,0.646089205
calories,35,0.646089205
choline,35,0.646089205
clac9t11,35,0.646089205
clat10c12,35,0.646089205
cystine,35,0.646089205
D_TOT_SOYM,35,0.646089205
D_TOTAL,35,0.646089205
G_NWHL,35,0.646089205
G_WHL,35,0.646089205
isoleuc,35,0.646089205
joules,35,0.646089205
lysine,35,0.646089205
mangan,35,0.646089205
pfa182,35,0.646089205
pfa204,35,0.646089205
serine,35,0.646089205
sfa120,35,0.646089205
sfa60,35,0.646089205
sfa80,35,0.646089205
threonin,35,0.646089205
V_POTATO,35,0.646089205
vitd,35,0.646089205
vitd_iu,35,0.646089205
vitd3,35,0.646089205
vitk,25,0.646089205
wgrain,35,0.646089205
HEI_Meat_Beans,34,0.647112688
HEI2010_Protein_Foods,34,0.647112688
HEI2015_Protein_Foods,34,0.647112688
HEI2010_Greens_Beans,25.5,0.666080087
HEI2015_Greens_Beans,25.5,0.666080087
HEI2015_Veg,25.5,0.666281255
HEI_Veg,25.5,0.66648206
HEI2010_Veg,25.5,0.66648206
M_FRANK,25.5,0.673101211
VegetableServings,26,0.706092955
FriedFoodServings,34,0.711501726
HEIScore,34,0.721396251
betacryp,26,0.721396251
F_OTHER,34,0.721396251
fol_syn,26,0.721396251
histidin,34,0.721396251
leucine,34,0.721396251
M_FISH_LO,26,0.721396251
methion,34,0.721396251
mfa201,34,0.721396251
mfa221,26,0.721396251
phenylal,34,0.721396251
protein,34,0.721396251
sfa100,34,0.721396251
tfa181t,34,0.721396251
thiamin,34,0.721396251
totcla,34,0.721396251
tryptoph,34,0.721396251
V_OTHER,26,0.721396251
V_TOMATO,26,0.721396251
valine,34,0.721396251
vita_iu,26,0.721396251
vita_re,26,0.721396251
FriedFishServings,26.5,0.737779485
FruitServings,26.5,0.748529589
HEI2010_Whole_Grains,33.5,0.751534983
HEI2015_Whole_Grains,33.5,0.751534983
HEI_Grains,33,0.791647838
TIME,27,0.79202284
HEI2015Score,27,0.79896574
biochana,33,0.79896574
cholest,33,0.79896574
fibh2o,27,0.79896574
fibinso,33,0.79896574
fol_nat,33,0.79896574
glutamic,33,0.79896574
glycine,33,0.79896574
M_EGG,27,0.79896574
M_MPF,33,0.79896574
methhis3,33,0.79896574
pfa225,33,0.79896574
pfa226,33,0.79896574
protanim,33,0.79896574
sfa170,33,0.79896574
vitb6,33,0.79896574
vitc,27,0.79896574
HEI2010_Empty_Calories,27.5,0.831908882
HEI_Whl_Grains,32.5,0.83282692
HEI2010_Refined_Grains,28,0.86406443
HEI2015_Refined_Grains,28,0.86406443
NonFriedFishServings,32,0.873983605
SweetServings,32,0.87429065
LEGUMES,32,0.87429065
CalciumServings,28,0.878797673
alphacar,32,0.878797673
ash,28,0.878797673
calcium,28,0.878797673
magnes,32,0.878797673
mfa161,32,0.878797673
natoco,28,0.878797673
niacin,32,0.878797673
pfa184,32,0.878797673
phosphor,32,0.878797673
sfa180,32,0.878797673
sodium,28,0.878797673
solidfat,32,0.878797673
sucrose,32,0.878797673
tyrosine,32,0.878797673
V_ORANGE,32,0.878797673
V_TOTAL,28,0.878797673
vita_rae,28,0.878797673
D_YOGURT,31.5,0.905984707
HEI_NonJuiceFrt,31.5,0.91419774
HEI2010_Whole_Fruit,31.5,0.91419774
HEI2015_Whole_Fruit,31.5,0.91419774
M_NUTSD,31.5,0.91553384
