feature,t-statistic,p-value
RECNO,56.0,0.6822010058691197
PFS_3,28.0,0.0023723695105118546
PFS_6,0.0,3.2683844857297903e-06
TIME,39.5,0.14717562467403392
SRVID,70.0,0.6822010058691197
Age,,
Height,,
Weight,,
BMI,,
EER,,
Visit,63.0,1.0
UserId,70.0,0.6822010058691197
DOB,,
MultivitaminFreq,,
MultivitaminDose,,
MultivitaminAvg,,
CalciumDose,,
CalciumAvg,,
FRT5DAY,68.5,0.7518931690250894
FRTSUMM,69.0,0.7287983108403016
VEG5DAY,69.0,0.7286047537982191
VEGSUMM,70.5,0.6590851679446263
AlcoholServings,37.0,0.08885285427161266
CalciumFromDairyServings,61.0,0.9247190374867695
CalciumServings,58.0,0.776814004155482
LowFatDairyServing,59.0,0.8239941991531644
FriedFishServings,60.0,0.8646248249943489
NonFriedFishServings,51.0,0.46714550977936
FishServings,54.5,0.6138564891938572
FriedFoodServings,54.0,0.5910526810957777
FruitServings,69.0,0.7251825600727281
JuiceServings,79.5,0.2521584280684218
SaladVegetableServings,53.0,0.5495438817461777
SweetServings,57.0,0.7282812363499499
VegetableServings,72.0,0.5825820357064888
WholeGrainServings,72.0,0.5923389514686113
HEIScore,83.0,0.21930264967931878
HEI_Fruit,68.5,0.7423524564890693
HEI_NonJuiceFrt,68.0,0.7639779185613726
HEI_Veg,64.0,0.9740869050143636
HEI_DrkG_OrgVeg_Leg,63.5,1.0
HEI_Grains,94.5,0.04970001536047616
HEI_Whl_Grains,67.5,0.8007700566353223
HEI_Milk,64.5,0.9496218530410028
HEI_Meat_Beans,71.0,0.5619143951782335
HEI_Oils,80.0,0.26172929939877976
HEI_SatFat,66.0,0.8742136290547546
HEI_Sodium,68.5,0.7422855576675866
HEI_SolFat_Alc_AddSug,79.5,0.3129014957536558
HEI2010Score,64.0,0.9748731531777381
HEI2010_Fruit,68.5,0.7423524564890693
HEI2010_Whole_Fruit,68.0,0.7639779185613726
HEI2010_Veg,64.0,0.9740869050143636
HEI2010_Greens_Beans,65.0,0.9223292328598198
HEI2010_Whole_Grains,67.5,0.8009630728548823
HEI2010_Dairy,64.5,0.9496218530410028
HEI2010_Protein_Foods,71.5,0.536287434866014
HEI2010_SeaFoods_PlantProteins,67.5,0.7926114677312716
HEI2010_Fatty_Acids,73.5,0.528018982426603
HEI2010_Refined_Grains,43.0,0.1930898665767602
HEI2010_Sodium,69.0,0.7175680029596727
HEI2010_Empty_Calories,64.0,0.9746467431563123
HEI2015Score,59.0,0.8254979107046321
HEI2015_Fruit,68.5,0.7423524564890693
HEI2015_Whole_Fruit,68.0,0.7639779185613726
HEI2015_Veg,68.0,0.7673326345500986
HEI2015_Greens_Beans,63.5,1.0
HEI2015_Whole_Grains,67.5,0.8009630728548823
HEI2015_Dairy,64.5,0.9496218530410028
HEI2015_Protein_Foods,71.5,0.536287434866014
HEI2015_SeaFoods_PlantProteins,63.5,1.0
HEI2015_Fatty_Acids,73.5,0.528018982426603
HEI2015_Refined_Grains,43.0,0.1930898665767602
HEI2015_Sodium,69.0,0.7175680029596727
HEI2015_Saturated_Fat,66.0,0.874739657981362
HEI2015_Added_Sugars,59.0,0.8199881962299422
A_BEV,37.0,0.08885285427161266
A_CAL,33.0,0.04017168323644421
acesupot,76.0,0.33371042060783296
ADD_SUG,76.0,0.43103254006573466
addsugar,73.0,0.5495438817461777
adsugtot,74.0,0.5083315735521454
alanine,69.0,0.7289914546163012
alcohol,38.5,0.12961885324497646
alphacar,73.0,0.5495438817461777
alphtoce,61.0,0.9247190374867695
alphtoco,61.0,0.9247190374867695
arginine,69.0,0.7289914546163012
ash,57.0,0.7289914546163012
aspartam,51.0,0.44836463689059725
aspartic,70.0,0.6822010058691197
avcarb,75.0,0.4688006174372942
betacar,64.0,0.9748731531777381
betacryp,57.0,0.7289914546163012
betaine,74.0,0.5083315735521454
betatoco,78.0,0.3610247699750073
biochana,60.0,0.8748624733342836
caffeine,40.0,0.15637572175964462
calcium,58.0,0.776814004155482
calories,66.0,0.8748624733342836
carbo,74.0,0.5083315735521454
cholest,72.0,0.5923389514686113
choline,69.0,0.7289914546163012
clac9t11,64.0,0.9748731531777381
clat10c12,67.0,0.8254979107046321
copper,66.0,0.8748624733342836
coumest,32.0,0.05469145227353499
cystine,71.0,0.6366016325636008
D_CHEESE,40.0,0.15637572175964462
D_MILK,73.0,0.5495438817461777
D_TOT_SOYM,61.0,0.9247190374867695
D_TOTAL,61.0,0.9247190374867695
D_YOGURT,73.0,0.518283052840393
daidzein,74.0,0.5083315735521454
delttoco,83.0,0.21930264967931878
DISCFAT_OIL,65.0,0.9247190374867695
DISCFAT_SOL,58.0,0.776814004155482
erythr,63.0,1.0
F_CITMLB,68.0,0.776814004155482
F_NJ_CITMLB,77.0,0.3950915849041501
F_NJ_OTHER,71.0,0.6366016325636008
F_NJ_TOTAL,73.0,0.5495438817461777
F_OTHER,73.0,0.5495438817461777
F_TOTAL,69.0,0.7289914546163012
fat,63.0,1.0
fiber,69.0,0.7289914546163012
fibh2o,66.0,0.8748624733342836
fibinso,75.0,0.4688006174372942
fol_deqv,64.0,0.9748731531777381
fol_nat,66.0,0.8748624733342836
fol_syn,66.0,0.8748624733342836
formontn,70.0,0.6820524670353949
fructose,75.0,0.4688006174372942
FULLFATDAIRY,61.0,0.9247190374867695
G_NWHL,80.0,0.29861767444881027
G_TOTAL,79.0,0.3288622086996853
G_WHL,72.0,0.5923389514686113
galactos,56.0,0.6822010058691197
gammtoco,72.0,0.5923389514686113
genistn,80.0,0.29861767444881027
GLAC,78.0,0.3610247699750073
GLTC,78.0,0.3610247699750073
glucose,74.0,0.5083315735521454
glutamic,67.0,0.8254979107046321
glycine,68.0,0.776814004155482
glycitn,81.0,0.2702893848016986
grams,36.0,0.095049405349338
histidin,67.0,0.8254979107046321
inositol,65.0,0.9247190374867695
iron,70.0,0.6822010058691197
isoleuc,68.0,0.776814004155482
isomalt,63.0,1.0
joules,66.0,0.8748624733342836
lactitol,63.0,1.0
lactose,70.0,0.6822010058691197
LEGUMES,59.0,0.8250722159326477
leucine,67.0,0.8254979107046321
LineGi,71.0,0.6366016325636008
lutzeax,66.0,0.8748624733342836
lycopene,52.0,0.5083315735521454
lysine,67.0,0.8254979107046321
M_EGG,63.0,1.0
M_FISH_HI,64.0,0.974563467097035
M_FISH_LO,50.0,0.43057667070063066
M_FRANK,55.5,0.6591641131790955
M_MEAT,75.0,0.4688006174372942
M_MPF,62.0,0.9748731531777381
M_NUTSD,72.0,0.5904049817485535
M_ORGAN,62.0,0.9570721885391008
M_POULT,68.0,0.776814004155482
M_SOY,88.0,0.12265221978015813
magnes,66.0,0.8748624733342836
maltitol,63.0,1.0
maltose,72.0,0.5923389514686113
mangan,75.0,0.4688006174372942
mannitol,62.0,0.9748731531777381
methhis3,63.0,1.0
methion,67.0,0.8254979107046321
mfa141,63.0,1.0
mfa161,60.0,0.8748624733342836
mfa181,66.0,0.8748624733342836
mfa201,71.0,0.6366016325636008
mfa221,52.0,0.5083315735521454
mfatot,66.0,0.8748624733342836
natoco,66.0,0.8748624733342836
nccglbr,77.0,0.3950915849041501
nccglgr,77.0,0.3950915849041501
niacin,68.0,0.776814004155482
niacineq,72.0,0.5923389514686113
nitrogen,70.0,0.6822010058691197
omega3,73.0,0.5495438817461777
oxalic,62.0,0.9748731531777381
oxalicm,62.0,0.9748731531777381
pantothe,64.0,0.9748731531777381
pectins,71.0,0.6366016325636008
pfa182,70.0,0.6822010058691197
pfa183,75.0,0.4688006174372942
pfa183n3,76.0,0.43103254006573466
pfa184,58.0,0.7767065790372698
pfa204,71.0,0.6366016325636008
pfa205,55.0,0.6366016325636008
pfa225,57.0,0.7289914546163012
pfa226,61.0,0.9247190374867695
pfatot,71.0,0.6366016325636008
phenylal,67.0,0.8254979107046321
phosphor,64.0,0.9748731531777381
phytic,75.0,0.4688006174372942
pinitol,76.0,0.43080473949191844
potass,62.0,0.9748731531777381
proline,63.0,1.0
protanim,65.0,0.9247190374867695
protein,68.0,0.776814004155482
protveg,81.0,0.2702893848016986
retinol,63.0,1.0
rgrain,79.0,0.3288622086996853
ribofla,59.0,0.8254979107046321
sacchar,63.0,1.0
satoco,77.5,0.37353760487912135
selenium,65.0,0.9247190374867695
serine,68.0,0.776814004155482
sfa100,66.0,0.8748624733342836
sfa120,63.0,1.0
sfa140,60.0,0.8748624733342836
sfa160,63.0,1.0
sfa170,59.0,0.8254979107046321
