function,description
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K00002,"AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
K00003,E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00004,"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"
K00005,gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00006,GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007,dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008,"SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]"
K00009,mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011,AKR1B; aldehyde reductase [EC:1.1.1.21]
K00012,"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
K00013,hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00014,aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015,"gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]"
K00016,"LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]"
K00018,hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00019,"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]"
K00020,"mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"
K00021,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00023,phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024,mdh; malate dehydrogenase [EC:1.1.1.37]
K00025,MDH1; malate dehydrogenase [EC:1.1.1.37]
K00027,"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]"
K00029,"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
K00032,E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
K00034,gdh; glucose 1-dehydrogenase [EC:1.1.1.47]
K00035,gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
K00038,E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039,rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040,uxuB; fructuronate reductase [EC:1.1.1.57]
K00041,uxaB; tagaturonate reductase [EC:1.1.1.58]
K00042,"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]"
K00043,gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00045,"E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]"
K00046,idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048,fucO; lactaldehyde reductase [EC:1.1.1.77]
K00050,ttuD; hydroxypyruvate reductase [EC:1.1.1.81]
K00051,E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
K00053,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
K00054,mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055,E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057,gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058,"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"
K00059,fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060,tdh; threonine 3-dehydrogenase [EC:1.1.1.103]
K00064,E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065,kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066,algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067,"rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"
K00068,srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00073,allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074,"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"
K00075,murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076,hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077,"panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]"
K00078,DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00082,ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00086,"dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]"
K00087,"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]"
K00088,"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
K00090,ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091,E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]
K00094,"E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]"
K00096,"araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]"
K00097,pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098,idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099,dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100,bdhAB; butanol dehydrogenase [EC:1.1.1.-]
K00101,lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102,"LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]"
K00103,GULO; L-gulonolactone oxidase [EC:1.1.3.8]
K00104,glcD; glycolate oxidase [EC:1.1.3.15]
K00105,E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00106,XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00108,"betA, CHDH; choline dehydrogenase [EC:1.1.99.1]"
K00109,L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111,"glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]"
K00112,glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113,glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
K00114,exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00116,mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117,gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00118,gfo; glucose-fructose oxidoreductase [EC:1.1.99.28]
K00121,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
K00122,FDH; formate dehydrogenase [EC:1.17.1.9]
K00123,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]"
K00124,"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit"
K00125,fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00126,fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127,"fdoI, fdsG; formate dehydrogenase subunit gamma"
K00128,ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129,E1.2.1.5; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130,"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]"
K00131,gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132,E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133,asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
K00135,gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137,prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138,aldB; aldehyde dehydrogenase [EC:1.2.1.-]
K00140,"mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]"
K00141,xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00145,argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146,feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147,proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148,fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00150,gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00151,"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]"
